frame,class_id,class_name,confidence,bbox
0,14,bird,0.4287158250808716,"[1267.9700927734375, 497.326171875, 1333.7474365234375, 531.0953979492188]"
15,14,bird,0.552397608757019,"[1167.5240478515625, 479.6663818359375, 1242.3994140625, 507.872314453125]"
15,37,surfboard,0.2748112380504608,"[3.9261016845703125, 452.87786865234375, 271.2770690917969, 480.4566650390625]"
45,14,bird,0.3256412744522095,"[1005.5965576171875, 488.9587097167969, 1073.99267578125, 523.0928344726562]"
60,14,bird,0.6206285357475281,"[947.9793090820312, 477.83251953125, 1023.6198120117188, 510.5011901855469]"
60,0,person,0.29120323061943054,"[717.220458984375, 703.3524780273438, 766.593017578125, 732.8927001953125]"
60,14,bird,0.24694028496742249,"[717.3682861328125, 703.3070068359375, 765.96337890625, 734.9851684570312]"
75,14,bird,0.2702360153198242,"[727.75048828125, 692.982421875, 792.9428100585938, 740.4884643554688]"
90,0,person,0.31661438941955566,"[482.1352844238281, 685.0303344726562, 816.6458740234375, 750.1615600585938]"
90,14,bird,0.2683889865875244,"[1231.914306640625, 235.88442993164062, 1273.794921875, 290.8929748535156]"
105,14,bird,0.3695714771747589,"[1235.9439697265625, 236.46084594726562, 1273.6849365234375, 287.6816101074219]"
105,14,bird,0.35829824209213257,"[481.0389404296875, 666.30029296875, 831.6834106445312, 752.551025390625]"
105,14,bird,0.3536032736301422,"[791.0468139648438, 479.2577209472656, 864.7881469726562, 520.9801025390625]"
105,0,person,0.30515414476394653,"[487.40643310546875, 664.798095703125, 831.3768310546875, 750.5972900390625]"
120,4,airplane,0.5499318838119507,"[478.9671936035156, 644.4896850585938, 834.0325927734375, 754.1649169921875]"
120,14,bird,0.2974731922149658,"[1235.10400390625, 235.6615447998047, 1272.844970703125, 288.462646484375]"
120,8,boat,0.27958765625953674,"[480.14337158203125, 645.8218383789062, 834.9269409179688, 752.6532592773438]"
135,14,bird,0.4591856896877289,"[1235.8824462890625, 236.68040466308594, 1274.9139404296875, 289.7636413574219]"
135,8,boat,0.4510839581489563,"[480.4045715332031, 632.53564453125, 843.6217041015625, 751.6565551757812]"
135,4,airplane,0.4006076157093048,"[479.48016357421875, 628.7142944335938, 844.6541748046875, 752.6338500976562]"
150,14,bird,0.6476191282272339,"[0.0, 312.25445556640625, 70.64903259277344, 361.4147033691406]"
150,14,bird,0.5130746960639954,"[601.0474243164062, 477.76007080078125, 672.5859375, 521.8685302734375]"
