frame,class_name,confidence,bbox,num_merged,merged_classes
0,marine mammal,0.4550917148590088,"[2011.2540283203125, 293.8829040527344, 2209.663818359375, 374.13153076171875]",2,"{'marine mammal': 0.4550917148590088, 'whale': 0.14456325769424438}"
0,whale,0.06617430597543716,"[2106.27392578125, 307.3802795410156, 2204.61962890625, 361.7779846191406]",1,{'whale': 0.06617430597543716}
15,marine mammal,0.05795181542634964,"[2057.0517578125, 344.49591064453125, 2355.397216796875, 428.20843505859375]",1,{'marine mammal': 0.05795181542634964}
30,marine mammal,0.16538581252098083,"[2022.1776123046875, 321.3120422363281, 2343.246337890625, 405.0418701171875]",1,{'marine mammal': 0.16538581252098083}
45,marine mammal,0.5604910850524902,"[2019.1951904296875, 578.4780883789062, 2345.98095703125, 686.2988891601562]",2,"{'marine mammal': 0.5604910850524902, 'whale': 0.07818450033664703}"
60,whale,0.40682998299598694,"[2063.09716796875, 837.4465942382812, 2338.654052734375, 938.1505737304688]",2,"{'whale': 0.40682998299598694, 'marine mammal': 0.07236608117818832}"
75,whale,0.4854179322719574,"[1974.22998046875, 723.5951538085938, 2311.60986328125, 846.177490234375]",1,{'whale': 0.4854179322719574}
90,marine mammal,0.5805610418319702,"[1913.0072021484375, 608.55615234375, 2278.21240234375, 817.03564453125]",2,"{'marine mammal': 0.5805610418319702, 'whale': 0.17631980776786804}"
90,marine mammal,0.05519254505634308,"[3671.78759765625, 1187.7601318359375, 3721.7197265625, 1300.803955078125]",1,{'marine mammal': 0.05519254505634308}
105,whale,0.6444003582000732,"[1794.64453125, 787.735107421875, 2170.748291015625, 984.4244384765625]",1,{'whale': 0.6444003582000732}
120,whale,0.38155391812324524,"[1727.352294921875, 429.3431396484375, 2114.03369140625, 651.97998046875]",1,{'whale': 0.38155391812324524}
135,whale,0.4373129904270172,"[1726.9716796875, 511.667724609375, 2108.449951171875, 743.419189453125]",1,{'whale': 0.4373129904270172}
150,whale,0.2652435898780823,"[1761.202880859375, 507.51910400390625, 2144.222412109375, 750.7518310546875]",1,{'whale': 0.2652435898780823}
165,whale,0.2267819494009018,"[1802.8135986328125, 591.930908203125, 2169.127685546875, 830.04052734375]",1,{'whale': 0.2267819494009018}
180,whale,0.23926357924938202,"[1848.9971923828125, 688.1754150390625, 2210.1806640625, 931.3916625976562]",1,{'whale': 0.23926357924938202}
195,whale,0.457764208316803,"[1886.5037841796875, 774.6608276367188, 2249.805908203125, 1032.6204833984375]",2,"{'whale': 0.457764208316803, 'marine mammal': 0.20577102899551392}"
210,whale,0.12235454469919205,"[1883.5986328125, 781.5433959960938, 2241.036865234375, 1044.6243896484375]",1,{'whale': 0.051292646676301956}
270,whale,0.5910178422927856,"[1776.172119140625, 645.4367065429688, 2064.802734375, 873.8058471679688]",1,{'whale': 0.5910178422927856}
285,whale,0.3499797582626343,"[1736.521728515625, 604.8001708984375, 2051.939453125, 898.6047973632812]",1,{'whale': 0.3499797582626343}
300,whale,0.1131686270236969,"[1696.094970703125, 556.912353515625, 2041.59228515625, 847.2286376953125]",1,{'whale': 0.1131686270236969}
315,whale,0.44582995772361755,"[1666.5301513671875, 564.8441772460938, 2053.77294921875, 863.2381591796875]",1,{'whale': 0.44582995772361755}
330,whale,0.36442187428474426,"[1653.7210693359375, 577.38720703125, 2091.537841796875, 913.9473266601562]",1,{'whale': 0.36442187428474426}
345,whale,0.5871168971061707,"[1699.4725341796875, 646.5698852539062, 2057.53955078125, 931.6768798828125]",1,{'whale': 0.5871168971061707}
360,whale,0.3812238276004791,"[1709.0277099609375, 660.5364990234375, 2091.234619140625, 965.2366333007812]",1,{'whale': 0.3812238276004791}
375,whale,0.2762452960014343,"[1678.5831298828125, 623.8330078125, 2124.728271484375, 1002.673095703125]",2,"{'whale': 0.2762452960014343, 'marine mammal': 0.21460412442684174}"
390,marine mammal,0.3715001940727234,"[1625.1492919921875, 567.0684204101562, 2031.7862548828125, 870.44677734375]",2,"{'marine mammal': 0.18609505891799927, 'whale': 0.10542584210634232}"
405,whale,0.15238839387893677,"[1564.424560546875, 502.5186767578125, 1986.2750244140625, 888.299072265625]",1,{'whale': 0.15238839387893677}
420,whale,0.2003273367881775,"[1505.955322265625, 435.85052490234375, 2003.611083984375, 864.3391723632812]",1,{'whale': 0.2003273367881775}
420,whale,0.1543925553560257,"[1505.262451171875, 439.3647766113281, 1710.400634765625, 575.5596923828125]",2,"{'whale': 0.1543925553560257, 'dorsal fin': 0.12025406211614609}"
435,marine mammal,0.4611207842826843,"[1453.6761474609375, 386.9583435058594, 1932.8192138671875, 785.645751953125]",2,"{'marine mammal': 0.4611207842826843, 'whale': 0.09027665108442307}"
435,marine mammal,0.16635602712631226,"[1447.0618896484375, 389.55816650390625, 2040.46728515625, 1050.56982421875]",1,{'marine mammal': 0.16635602712631226}
435,dorsal fin,0.052604883909225464,"[1454.1607666015625, 386.79290771484375, 1666.089599609375, 521.4298095703125]",1,{'dorsal fin': 0.052604883909225464}
450,marine mammal,0.15031373500823975,"[1414.578369140625, 359.83538818359375, 1925.889404296875, 826.3399658203125]",2,"{'marine mammal': 0.15031373500823975, 'whale': 0.11963977664709091}"
450,whale,0.12510879337787628,"[1503.151123046875, 446.2096252441406, 1863.2427978515625, 705.0225830078125]",1,{'whale': 0.12510879337787628}
465,whale,0.10969981551170349,"[1395.147216796875, 343.65142822265625, 1865.943603515625, 761.4053344726562]",1,{'whale': 0.10969981551170349}
480,whale,0.0791354849934578,"[1386.7891845703125, 318.2860107421875, 1859.1024169921875, 694.134521484375]",1,{'whale': 0.0791354849934578}
495,marine mammal,0.42071905732154846,"[1441.4334716796875, 301.5317687988281, 1948.9805908203125, 693.50634765625]",2,"{'marine mammal': 0.42071905732154846, 'whale': 0.0927395224571228}"
495,marine mammal,0.36310485005378723,"[1816.8753662109375, 542.164306640625, 1938.0318603515625, 679.9068603515625]",2,"{'marine mammal': 0.36310485005378723, 'whale': 0.1378643661737442}"
495,whale,0.09444751590490341,"[1441.9127197265625, 301.7056579589844, 1670.2276611328125, 448.3947448730469]",1,{'whale': 0.09444751590490341}
510,marine mammal,0.8790023922920227,"[1550.23974609375, 305.6351013183594, 2054.693115234375, 675.8687744140625]",1,{'marine mammal': 0.07233420014381409}
510,whale,0.056268543004989624,"[1711.9976806640625, 408.92828369140625, 2046.4705810546875, 667.4006958007812]",1,{'whale': 0.056268543004989624}
525,marine mammal,0.3122788369655609,"[1671.5556640625, 327.9277038574219, 2141.63671875, 683.7757568359375]",2,"{'marine mammal': 0.05856287479400635, 'whale': 0.12063665688037872}"
540,whale,0.46187707781791687,"[1770.4888916015625, 341.616943359375, 2226.70458984375, 688.5195922851562]",1,{'whale': 0.46187707781791687}
555,whale,0.6614792346954346,"[1835.7630615234375, 364.38555908203125, 2288.77099609375, 698.1927490234375]",2,"{'whale': 0.6614792346954346, 'marine mammal': 0.5928871035575867}"
570,marine mammal,0.32746434211730957,"[1876.2425537109375, 440.63909912109375, 2341.6298828125, 793.4463500976562]",2,"{'marine mammal': 0.32746434211730957, 'whale': 0.29774045944213867}"
585,marine mammal,0.7143529653549194,"[1901.2379150390625, 576.4837646484375, 2380.362548828125, 941.0628662109375]",2,"{'marine mammal': 0.7143529653549194, 'whale': 0.4550602436065674}"
600,marine mammal,0.4551558196544647,"[1910.076904296875, 723.8435668945312, 2379.72998046875, 1077.617919921875]",1,{'marine mammal': 0.4551558196544647}
615,whale,0.5863547325134277,"[1926.7474365234375, 874.0191650390625, 2343.131103515625, 1169.7249755859375]",2,"{'whale': 0.5863547325134277, 'marine mammal': 0.4877510666847229}"
630,whale,0.6088799834251404,"[1898.347412109375, 912.6961669921875, 2346.17431640625, 1252.559326171875]",1,{'whale': 0.6088799834251404}
645,marine mammal,0.6206263303756714,"[1846.1531982421875, 882.344970703125, 2302.093017578125, 1231.0693359375]",2,"{'marine mammal': 0.6206263303756714, 'whale': 0.494669646024704}"
660,marine mammal,0.41555675864219666,"[1802.637451171875, 849.0595703125, 2269.0322265625, 1197.94921875]",1,{'marine mammal': 0.41555675864219666}
675,marine mammal,0.766644299030304,"[1758.343505859375, 809.2186889648438, 2229.960205078125, 1153.556884765625]",1,{'marine mammal': 0.766644299030304}
690,marine mammal,0.6170908808708191,"[1706.94580078125, 770.4276123046875, 2159.392822265625, 1114.5904541015625]",2,"{'marine mammal': 0.6170908808708191, 'whale': 0.23331615328788757}"
705,marine mammal,0.8569549918174744,"[1663.8037109375, 784.3143920898438, 2120.428466796875, 1120.7276611328125]",2,"{'marine mammal': 0.8569549918174744, 'whale': 0.10188733786344528}"
720,marine mammal,0.6641411185264587,"[1617.96435546875, 820.6964721679688, 2078.845947265625, 1156.3963623046875]",2,"{'marine mammal': 0.6641411185264587, 'whale': 0.42683762311935425}"
735,marine mammal,0.8067662715911865,"[1583.9095458984375, 860.6619873046875, 2050.7412109375, 1208.0333251953125]",1,{'marine mammal': 0.8067662715911865}
750,marine mammal,0.533807098865509,"[1539.24609375, 915.6245727539062, 2016.673095703125, 1257.9676513671875]",1,{'marine mammal': 0.533807098865509}
765,marine mammal,0.8371103405952454,"[1501.8583984375, 975.4713134765625, 1973.9593505859375, 1317.28857421875]",2,"{'marine mammal': 0.8371103405952454, 'whale': 0.2899525463581085}"
765,whale,0.11927162110805511,"[1887.753662109375, 1199.5426025390625, 1978.748291015625, 1321.2703857421875]",1,{'whale': 0.11927162110805511}
780,whale,0.3015405833721161,"[1487.1820068359375, 1004.3345947265625, 1964.3065185546875, 1338.668701171875]",1,{'whale': 0.3015405833721161}
795,marine mammal,0.40400397777557373,"[1463.3233642578125, 999.072509765625, 1920.7149658203125, 1302.541259765625]",2,"{'marine mammal': 0.40400397777557373, 'whale': 0.3166812062263489}"
810,whale,0.401685506105423,"[1441.3621826171875, 977.6492309570312, 1925.616943359375, 1285.4249267578125]",1,{'whale': 0.401685506105423}
825,marine mammal,0.5477924942970276,"[1450.8074951171875, 949.7653198242188, 1922.9267578125, 1256.2398681640625]",2,"{'marine mammal': 0.5477924942970276, 'whale': 0.5400638580322266}"
840,marine mammal,0.23714591562747955,"[1455.8106689453125, 920.488037109375, 1935.643798828125, 1252.7259521484375]",2,"{'marine mammal': 0.23714591562747955, 'whale': 0.1866482049226761}"
855,marine mammal,0.386386901140213,"[1481.7166748046875, 891.0552978515625, 1963.42724609375, 1207.53564453125]",2,"{'marine mammal': 0.386386901140213, 'whale': 0.38425394892692566}"
870,whale,0.38502052426338196,"[1518.798095703125, 857.7550048828125, 2007.76513671875, 1189.94091796875]",1,{'whale': 0.38502052426338196}
900,whale,0.13694223761558533,"[1587.573486328125, 817.205078125, 2083.177734375, 1156.30078125]",1,{'whale': 0.13694223761558533}
915,whale,0.1356493979692459,"[1619.8450927734375, 825.3279418945312, 2056.917724609375, 1099.3060302734375]",1,{'whale': 0.11351191997528076}
930,whale,0.09170029312372208,"[1617.889892578125, 810.1887817382812, 2109.331787109375, 1163.390380859375]",1,{'whale': 0.06849981844425201}
