frame,class_name,confidence,bbox,num_merged,merged_classes
0,whale,0.736756443977356,"[2576.37744140625, 1350.0626220703125, 2979.405029296875, 1710.7467041015625]",2,"{'whale': 0.736756443977356, 'marine mammal': 0.16619566082954407}"
0,marine mammal,0.7295137643814087,"[637.6522216796875, 1173.3885498046875, 1330.7017822265625, 1817.4180908203125]",1,{'marine mammal': 0.7295137643814087}
0,marine mammal,0.4464400112628937,"[643.8162231445312, 1658.27197265625, 1164.44580078125, 2106.066650390625]",1,{'marine mammal': 0.4464400112628937}
0,marine mammal,0.058406729251146317,"[0.0, 1620.853271484375, 587.860107421875, 2061.456298828125]",1,{'marine mammal': 0.058406729251146317}
15,whale,0.5584584474563599,"[574.0142211914062, 1392.743896484375, 1107.2615966796875, 1887.072265625]",2,"{'whale': 0.5584584474563599, 'marine mammal': 0.5179523229598999}"
15,whale,0.5472812056541443,"[2586.07958984375, 1155.9713134765625, 2935.281005859375, 1490.6661376953125]",2,"{'whale': 0.5472812056541443, 'marine mammal': 0.34089046716690063}"
15,marine mammal,0.4342871904373169,"[593.325439453125, 928.727783203125, 1333.96875, 1573.2371826171875]",1,{'marine mammal': 0.4342871904373169}
30,marine mammal,0.5739086270332336,"[571.1339721679688, 537.844482421875, 1261.851318359375, 1166.715087890625]",1,{'marine mammal': 0.05484754219651222}
30,marine mammal,0.5169352889060974,"[2606.627197265625, 801.8069458007812, 3100.540283203125, 1273.899658203125]",2,"{'marine mammal': 0.5169352889060974, 'whale': 0.4374200403690338}"
30,whale,0.4097825586795807,"[578.8526000976562, 1030.1998291015625, 1204.8392333984375, 1622.4539794921875]",2,"{'whale': 0.4097825586795807, 'marine mammal': 0.38302698731422424}"
45,marine mammal,0.4671114683151245,"[2634.468994140625, 407.91064453125, 3109.8017578125, 897.703125]",2,"{'marine mammal': 0.4671114683151245, 'whale': 0.20634154975414276}"
45,marine mammal,0.36700260639190674,"[557.4737548828125, 115.020263671875, 1247.13427734375, 725.0068969726562]",1,{'marine mammal': 0.10451631993055344}
45,marine mammal,0.23158927261829376,"[555.9636840820312, 575.773681640625, 1279.26318359375, 1274.8472900390625]",1,{'marine mammal': 0.23158927261829376}
60,marine mammal,0.6378828287124634,"[603.5520629882812, 258.60406494140625, 1293.5596923828125, 972.5065307617188]",1,{'marine mammal': 0.11114922165870667}
60,marine mammal,0.6290004849433899,"[2705.59228515625, 226.35562133789062, 3091.787353515625, 684.4224853515625]",2,"{'marine mammal': 0.6290004849433899, 'whale': 0.4605405032634735}"
60,whale,0.11743853241205215,"[3120.617431640625, 1993.6263427734375, 3222.7294921875, 2052.110107421875]",1,{'whale': 0.11743853241205215}
60,marine mammal,0.10648399591445923,"[800.5424194335938, 0.0, 1394.25048828125, 424.5438537597656]",1,{'marine mammal': 0.10648399591445923}
60,marine mammal,0.07983134686946869,"[0.0, 292.4310302734375, 397.8944091796875, 669.1190795898438]",1,{'marine mammal': 0.07983134686946869}
75,marine mammal,0.7068894505500793,"[601.0704956054688, 145.3328399658203, 1296.183837890625, 843.098876953125]",1,{'marine mammal': 0.7068894505500793}
75,whale,0.4838203489780426,"[2747.565673828125, 164.1415557861328, 3082.986328125, 518.26025390625]",2,"{'whale': 0.4838203489780426, 'marine mammal': 0.058427948504686356}"
75,marine mammal,0.12066367268562317,"[0.0, 187.06146240234375, 558.5235595703125, 694.2127685546875]",1,{'marine mammal': 0.12066367268562317}
90,marine mammal,0.8798522353172302,"[646.43408203125, 64.80825805664062, 1342.9515380859375, 767.3344116210938]",1,{'marine mammal': 0.8798522353172302}
90,whale,0.47503259778022766,"[2829.681884765625, 134.7213592529297, 3181.294921875, 489.8240966796875]",2,"{'whale': 0.47503259778022766, 'marine mammal': 0.47002407908439636}"
90,marine mammal,0.09875433892011642,"[48.16680908203125, 143.90740966796875, 609.3499145507812, 642.9417724609375]",1,{'marine mammal': 0.09875433892011642}
105,marine mammal,0.8360216617584229,"[714.076171875, 24.775634765625, 1391.3642578125, 727.3809814453125]",1,{'marine mammal': 0.8360216617584229}
105,whale,0.31784915924072266,"[2934.189697265625, 132.4698486328125, 3278.243408203125, 500.42431640625]",1,{'whale': 0.31784915924072266}
105,marine mammal,0.15518420934677124,"[112.81471252441406, 122.30740356445312, 646.2300415039062, 610.5927124023438]",1,{'marine mammal': 0.15518420934677124}
120,whale,0.7163486480712891,"[3027.151611328125, 209.81314086914062, 3360.208740234375, 564.4520874023438]",1,{'whale': 0.7163486480712891}
120,marine mammal,0.4725115895271301,"[747.6769409179688, 38.132171630859375, 1610.1683349609375, 748.8358154296875]",1,{'marine mammal': 0.1364382952451706}
120,marine mammal,0.3572157621383667,"[0.2296142578125, 511.97900390625, 561.2483520507812, 1137.823974609375]",1,{'marine mammal': 0.3572157621383667}
120,marine mammal,0.33027184009552,"[170.48414611816406, 148.12005615234375, 690.1196899414062, 616.5350341796875]",1,{'marine mammal': 0.33027184009552}
135,marine mammal,0.39301732182502747,"[767.3060302734375, 146.17922973632812, 1434.5555419921875, 853.1248779296875]",1,{'marine mammal': 0.09820053726434708}
135,whale,0.34877052903175354,"[3072.884033203125, 355.6581115722656, 3425.504150390625, 723.2195434570312]",1,{'whale': 0.34877052903175354}
135,marine mammal,0.14431552588939667,"[0.0, 657.7556762695312, 472.748046875, 1159.5316162109375]",1,{'marine mammal': 0.14431552588939667}
