frame,class_id,class_name,confidence,bbox
0,4,dorsal fin,0.3421933948993683,"[1268.826904296875, 497.08099365234375, 1332.0791015625, 525.009033203125]"
0,5,marine mammal,0.08892910182476044,"[1268.1807861328125, 497.2700500488281, 1331.7061767578125, 526.3861694335938]"
30,0,whale,0.08480558544397354,"[1092.49658203125, 478.5041198730469, 1153.62744140625, 504.04779052734375]"
60,5,marine mammal,0.8874438405036926,"[425.2068786621094, 698.3822631835938, 539.5448608398438, 737.853759765625]"
60,0,whale,0.7558091878890991,"[425.6858825683594, 698.470703125, 539.7100219726562, 738.33251953125]"
60,4,dorsal fin,0.43524831533432007,"[719.091064453125, 705.1777954101562, 764.7138671875, 733.8154907226562]"
60,5,marine mammal,0.4129365086555481,"[719.1637573242188, 705.0650024414062, 764.7945556640625, 734.399658203125]"
60,4,dorsal fin,0.2676858901977539,"[949.6295166015625, 476.32598876953125, 1024.4296875, 510.64306640625]"
60,4,dorsal fin,0.06565969437360764,"[425.0777893066406, 697.7128295898438, 541.9237670898438, 738.480712890625]"
60,0,whale,0.06498302519321442,"[946.474365234375, 476.18975830078125, 1024.5662841796875, 510.5855712890625]"
90,5,marine mammal,0.841117262840271,"[479.1545104980469, 683.0332641601562, 815.2528076171875, 745.28173828125]"
90,0,whale,0.8239134550094604,"[478.82611083984375, 682.1775512695312, 815.5955200195312, 745.2784423828125]"
90,5,marine mammal,0.10163602232933044,"[848.2020263671875, 504.93145751953125, 914.8048095703125, 523.9727783203125]"
90,5,marine mammal,0.0566893145442009,"[878.7581787109375, 404.0548095703125, 891.7526245117188, 438.0469665527344]"
120,5,marine mammal,0.8802988529205322,"[481.0111083984375, 647.0263061523438, 833.6270141601562, 749.7191162109375]"
150,5,marine mammal,0.8791421055793762,"[484.43023681640625, 626.703369140625, 879.558837890625, 753.1312866210938]"
150,0,whale,0.7877848744392395,"[484.72210693359375, 626.0905151367188, 879.062255859375, 753.4248657226562]"
150,5,marine mammal,0.16326738893985748,"[0.040008544921875, 313.2771911621094, 71.1424560546875, 363.0606384277344]"
150,4,dorsal fin,0.12114200741052628,"[605.3682861328125, 480.6000671386719, 670.7235717773438, 519.3701782226562]"
150,0,whale,0.050857387483119965,"[0.0, 313.2217712402344, 70.9332046508789, 365.0438232421875]"
180,0,whale,0.48549917340278625,"[499.6315612792969, 623.0432739257812, 1024.4208984375, 757.6094970703125]"
180,5,marine mammal,0.18585596978664398,"[495.8323974609375, 621.7562866210938, 1143.1680908203125, 760.146484375]"
180,5,marine mammal,0.060988832265138626,"[461.0715637207031, 505.7708435058594, 515.0933227539062, 523.3552856445312]"
210,5,marine mammal,0.353707879781723,"[329.89141845703125, 512.77880859375, 397.2353210449219, 540.3869018554688]"
210,0,whale,0.2669885754585266,"[480.9610290527344, 632.5052490234375, 1172.735595703125, 758.385009765625]"
210,5,marine mammal,0.24186378717422485,"[480.72528076171875, 631.7311401367188, 1174.847900390625, 759.1846313476562]"
210,5,marine mammal,0.09895899891853333,"[480.8824768066406, 632.259033203125, 898.9913330078125, 754.3006591796875]"
210,0,whale,0.08176043629646301,"[479.9227294921875, 632.5242919921875, 892.9286499023438, 755.0159912109375]"
240,5,marine mammal,0.28306281566619873,"[1825.1646728515625, 187.5076904296875, 1914.83544921875, 242.2539825439453]"
240,4,dorsal fin,0.24391496181488037,"[702.4091186523438, 644.4646606445312, 839.9207763671875, 755.3568115234375]"
240,5,marine mammal,0.15562695264816284,"[462.0451354980469, 644.1054077148438, 850.5990600585938, 760.6578979492188]"
240,0,whale,0.15015608072280884,"[461.8807067871094, 644.6320190429688, 851.7199096679688, 760.8820190429688]"
240,5,marine mammal,0.12680386006832123,"[195.60316467285156, 506.88427734375, 242.97286987304688, 527.3499755859375]"
240,4,dorsal fin,0.12516173720359802,"[1825.2445068359375, 186.69570922851562, 1914.87646484375, 241.399658203125]"
240,0,whale,0.10138595104217529,"[701.9190673828125, 644.5020141601562, 841.7103881835938, 755.4730834960938]"
270,5,marine mammal,0.14320677518844604,"[678.8500366210938, 657.8618774414062, 1096.642822265625, 764.3181762695312]"
270,0,whale,0.07494565844535828,"[679.5625, 659.6605834960938, 830.1039428710938, 763.4483642578125]"
270,4,dorsal fin,0.06378534436225891,"[681.4592895507812, 659.6475219726562, 755.0304565429688, 761.3190307617188]"
300,5,marine mammal,0.4209796190261841,"[679.6444702148438, 681.4264526367188, 731.6369018554688, 768.6798706054688]"
300,4,dorsal fin,0.36498376727104187,"[680.798583984375, 681.6063232421875, 731.9796752929688, 767.968017578125]"
330,5,marine mammal,0.4388485848903656,"[674.7279663085938, 700.7254638671875, 712.7787475585938, 764.1453247070312]"
330,4,dorsal fin,0.3596425950527191,"[675.7420043945312, 700.483154296875, 713.3265380859375, 763.381591796875]"
330,5,marine mammal,0.08712360262870789,"[879.1036376953125, 402.7610778808594, 892.08984375, 437.7761535644531]"
360,5,marine mammal,0.33733615279197693,"[672.1743774414062, 718.5377197265625, 698.6203002929688, 769.6594848632812]"
360,4,dorsal fin,0.21160751581192017,"[671.9518432617188, 718.269287109375, 697.79296875, 769.4701538085938]"
360,5,marine mammal,0.07742564380168915,"[879.3251953125, 402.4532165527344, 892.0711669921875, 437.5540771484375]"
360,0,whale,0.07051576673984528,"[671.8829956054688, 717.9412231445312, 698.0376586914062, 770.3888549804688]"
390,5,marine mammal,0.051197271794080734,"[879.0115356445312, 402.8211364746094, 891.1089477539062, 434.6633605957031]"
420,0,whale,0.06171174719929695,"[298.9442138671875, 363.7273864746094, 315.07269287109375, 376.3138732910156]"
480,5,marine mammal,0.8076973557472229,"[1003.5309448242188, 703.3070678710938, 1122.3193359375, 736.3817749023438]"
480,0,whale,0.6191510558128357,"[1002.9937133789062, 703.5877685546875, 1122.7764892578125, 736.7467041015625]"
510,0,whale,0.3103858530521393,"[961.0684814453125, 687.2260131835938, 1101.0772705078125, 724.9334716796875]"
510,5,marine mammal,0.26565492153167725,"[961.0794067382812, 687.4039306640625, 1101.2205810546875, 724.7968139648438]"
540,5,marine mammal,0.0758267268538475,"[1060.30810546875, 693.4010009765625, 1084.49853515625, 722.1016845703125]"
570,0,whale,0.2404947280883789,"[1011.0866088867188, 641.1063232421875, 1271.1658935546875, 710.341796875]"
570,5,marine mammal,0.2158413678407669,"[1005.0289306640625, 641.304443359375, 1364.3822021484375, 715.4775390625]"
570,0,whale,0.10281143337488174,"[1008.2971801757812, 640.2525634765625, 1351.4542236328125, 715.7123413085938]"
570,4,dorsal fin,0.057018812745809555,"[1237.052490234375, 643.7845458984375, 1262.7791748046875, 696.0078735351562]"
600,0,whale,0.44314685463905334,"[989.7017822265625, 597.7161254882812, 1280.420166015625, 715.7479248046875]"
600,4,dorsal fin,0.08275089412927628,"[1232.421630859375, 599.6005859375, 1265.0877685546875, 687.5364990234375]"
600,5,marine mammal,0.06250477582216263,"[1640.9560546875, 1053.3355712890625, 1722.01904296875, 1080.0]"
600,4,dorsal fin,0.055141717195510864,"[1057.8253173828125, 623.7584838867188, 1206.213623046875, 682.0389404296875]"
600,0,whale,0.0505974180996418,"[1051.309326171875, 599.4939575195312, 1271.25, 692.3563842773438]"
630,0,whale,0.3746436536312103,"[949.811279296875, 569.1344604492188, 1270.26708984375, 714.4013671875]"
630,0,whale,0.22296620905399323,"[1039.92626953125, 624.3872680664062, 1219.352783203125, 690.917724609375]"
630,4,dorsal fin,0.21361353993415833,"[1227.2109375, 568.8934936523438, 1267.4000244140625, 702.5103759765625]"
630,0,whale,0.20656952261924744,"[1030.296142578125, 568.9658203125, 1267.8421630859375, 706.1940307617188]"
630,5,marine mammal,0.1873769462108612,"[1041.7928466796875, 624.4487915039062, 1218.07373046875, 690.1807250976562]"
630,5,marine mammal,0.05158736929297447,"[39.55769729614258, 306.1640625, 81.95622253417969, 331.6575927734375]"
660,5,marine mammal,0.7733063101768494,"[1032.2076416015625, 554.9610595703125, 1273.256103515625, 727.2171630859375]"
660,0,whale,0.6154158711433411,"[1032.471435546875, 555.4257202148438, 1275.0380859375, 727.4100952148438]"
660,4,dorsal fin,0.19323597848415375,"[1033.4761962890625, 640.999267578125, 1266.569091796875, 726.4690551757812]"
660,0,whale,0.16439026594161987,"[1032.9942626953125, 640.9052734375, 1268.8795166015625, 725.3569946289062]"
660,4,dorsal fin,0.05488426238298416,"[1224.37353515625, 556.0675048828125, 1270.04736328125, 723.1185302734375]"
690,5,marine mammal,0.8744980692863464,"[930.3328857421875, 553.6817016601562, 1281.2713623046875, 758.220947265625]"
690,2,killer whale,0.14757953584194183,"[929.7530517578125, 553.261962890625, 1282.760009765625, 758.6665649414062]"
690,5,marine mammal,0.050453756004571915,"[933.2178955078125, 672.742919921875, 1274.0672607421875, 755.415771484375]"
720,5,marine mammal,0.807011604309082,"[908.8260498046875, 556.884765625, 1292.7686767578125, 788.0189819335938]"
720,0,whale,0.7427997589111328,"[908.6570434570312, 556.4677734375, 1293.1700439453125, 788.09912109375]"
720,5,marine mammal,0.14322316646575928,"[1015.7779541015625, 705.6520385742188, 1289.3345947265625, 787.2271728515625]"
720,5,marine mammal,0.14183513820171356,"[908.4508666992188, 736.575439453125, 993.8058471679688, 781.046630859375]"
720,0,whale,0.0786292552947998,"[1015.9248046875, 705.14404296875, 1289.879150390625, 786.7428588867188]"
750,5,marine mammal,0.8118450045585632,"[1004.6167602539062, 557.8515014648438, 1306.8450927734375, 814.0709838867188]"
750,0,whale,0.6369331479072571,"[1004.751708984375, 558.0765991210938, 1306.9735107421875, 814.519287109375]"
750,0,whale,0.11080850660800934,"[1004.7410888671875, 732.3912963867188, 1304.803466796875, 812.250732421875]"
780,5,marine mammal,0.7552259564399719,"[996.0643310546875, 566.0740966796875, 1328.2576904296875, 835.8820190429688]"
780,0,whale,0.6792759299278259,"[995.7903442382812, 566.1683349609375, 1327.7396240234375, 835.5231323242188]"
810,0,whale,0.7834364175796509,"[1002.5335693359375, 573.287353515625, 1363.8402099609375, 849.9234619140625]"
810,5,marine mammal,0.7649741172790527,"[1003.2713623046875, 573.29248046875, 1363.7679443359375, 849.8760375976562]"
840,5,marine mammal,0.3174380362033844,"[1164.649658203125, 581.8825073242188, 1365.2186279296875, 854.903564453125]"
840,0,whale,0.24417217075824738,"[1165.4666748046875, 581.7816162109375, 1364.8798828125, 855.0243530273438]"
840,5,marine mammal,0.12665040791034698,"[1671.1820068359375, 464.8902282714844, 1761.0047607421875, 539.1460571289062]"
840,0,whale,0.10606496781110764,"[1670.510498046875, 465.5779113769531, 1760.473876953125, 538.6715698242188]"
870,0,whale,0.7040557861328125,"[587.7728881835938, 492.4692077636719, 1145.1595458984375, 788.9761962890625]"
870,5,marine mammal,0.6954556107521057,"[588.040283203125, 492.46087646484375, 1144.832275390625, 788.7694702148438]"
900,5,marine mammal,0.8791792392730713,"[570.2297973632812, 468.4566650390625, 1137.25830078125, 788.9672241210938]"
930,5,marine mammal,0.8967303037643433,"[561.6959838867188, 451.7977294921875, 1104.9383544921875, 788.8276977539062]"
930,0,whale,0.3829803168773651,"[561.2640380859375, 450.6869201660156, 1105.704345703125, 789.4268798828125]"
960,5,marine mammal,0.9332552552223206,"[587.2567138671875, 443.5113830566406, 1122.751953125, 790.33740234375]"
960,0,whale,0.6459792852401733,"[585.592529296875, 443.7027282714844, 1122.5167236328125, 790.2078247070312]"
990,5,marine mammal,0.5403421521186829,"[642.1351318359375, 440.50927734375, 1537.7633056640625, 788.4267578125]"
990,0,whale,0.35413461923599243,"[641.1524047851562, 440.5286865234375, 1533.4434814453125, 788.2635498046875]"
990,0,whale,0.2513951063156128,"[645.782958984375, 441.8057556152344, 1158.041748046875, 786.4125366210938]"
990,4,dorsal fin,0.06928849220275879,"[643.2579956054688, 706.7325439453125, 1074.591064453125, 784.200439453125]"
990,0,whale,0.05831451341509819,"[639.6301879882812, 706.1072998046875, 1070.975830078125, 784.4837646484375]"
1020,0,whale,0.6187241673469543,"[764.2911987304688, 453.5400695800781, 1199.4661865234375, 787.0984497070312]"
1020,5,marine mammal,0.591958224773407,"[764.8934326171875, 453.1879577636719, 1199.171630859375, 786.64697265625]"
1050,5,marine mammal,0.8135597705841064,"[918.870849609375, 477.0626220703125, 1169.9906005859375, 795.2362670898438]"
1050,0,whale,0.7667987942695618,"[918.2005004882812, 477.5929870605469, 1170.470703125, 795.1399536132812]"
1050,0,whale,0.14140631258487701,"[927.9761352539062, 708.4103393554688, 1168.968505859375, 795.5571899414062]"
1050,4,dorsal fin,0.0904965028166771,"[1122.9107666015625, 738.648193359375, 1168.474365234375, 794.1990966796875]"
1080,0,whale,0.347482830286026,"[907.2140502929688, 494.99725341796875, 1190.534912109375, 800.8575439453125]"
