frame,class_name,confidence,bbox,num_merged,merged_classes
0,dorsal fin,0.3421933948993683,"[1268.826904296875, 497.08099365234375, 1332.0791015625, 525.009033203125]",2,"{'dorsal fin': 0.3421933948993683, 'marine mammal': 0.08892910182476044}"
30,whale,0.08480558544397354,"[1092.49658203125, 478.5041198730469, 1153.62744140625, 504.04779052734375]",1,{'whale': 0.08480558544397354}
60,marine mammal,0.8874438405036926,"[425.2068786621094, 698.3822631835938, 539.5448608398438, 737.853759765625]",3,"{'marine mammal': 0.8874438405036926, 'whale': 0.7558091878890991, 'dorsal fin': 0.06565969437360764}"
60,dorsal fin,0.43524831533432007,"[719.091064453125, 705.1777954101562, 764.7138671875, 733.8154907226562]",2,"{'dorsal fin': 0.43524831533432007, 'marine mammal': 0.4129365086555481}"
60,dorsal fin,0.2676858901977539,"[949.6295166015625, 476.32598876953125, 1024.4296875, 510.64306640625]",2,"{'dorsal fin': 0.2676858901977539, 'whale': 0.06498302519321442}"
90,marine mammal,0.841117262840271,"[479.1545104980469, 683.0332641601562, 815.2528076171875, 745.28173828125]",2,"{'marine mammal': 0.841117262840271, 'whale': 0.8239134550094604}"
90,marine mammal,0.10163602232933044,"[848.2020263671875, 504.93145751953125, 914.8048095703125, 523.9727783203125]",1,{'marine mammal': 0.10163602232933044}
90,marine mammal,0.0566893145442009,"[878.7581787109375, 404.0548095703125, 891.7526245117188, 438.0469665527344]",1,{'marine mammal': 0.0566893145442009}
120,marine mammal,0.8802988529205322,"[481.0111083984375, 647.0263061523438, 833.6270141601562, 749.7191162109375]",1,{'marine mammal': 0.8802988529205322}
150,marine mammal,0.8791421055793762,"[484.43023681640625, 626.703369140625, 879.558837890625, 753.1312866210938]",2,"{'marine mammal': 0.8791421055793762, 'whale': 0.7877848744392395}"
150,marine mammal,0.16326738893985748,"[0.040008544921875, 313.2771911621094, 71.1424560546875, 363.0606384277344]",2,"{'marine mammal': 0.16326738893985748, 'whale': 0.050857387483119965}"
150,dorsal fin,0.12114200741052628,"[605.3682861328125, 480.6000671386719, 670.7235717773438, 519.3701782226562]",1,{'dorsal fin': 0.12114200741052628}
180,whale,0.48549917340278625,"[499.6315612792969, 623.0432739257812, 1024.4208984375, 757.6094970703125]",2,"{'whale': 0.48549917340278625, 'marine mammal': 0.18585596978664398}"
180,marine mammal,0.060988832265138626,"[461.0715637207031, 505.7708435058594, 515.0933227539062, 523.3552856445312]",1,{'marine mammal': 0.060988832265138626}
210,marine mammal,0.353707879781723,"[329.89141845703125, 512.77880859375, 397.2353210449219, 540.3869018554688]",1,{'marine mammal': 0.353707879781723}
210,whale,0.2669885754585266,"[480.9610290527344, 632.5052490234375, 1172.735595703125, 758.385009765625]",2,"{'whale': 0.08176043629646301, 'marine mammal': 0.09895899891853333}"
240,marine mammal,0.28306281566619873,"[1825.1646728515625, 187.5076904296875, 1914.83544921875, 242.2539825439453]",2,"{'marine mammal': 0.28306281566619873, 'dorsal fin': 0.12516173720359802}"
240,dorsal fin,0.24391496181488037,"[702.4091186523438, 644.4646606445312, 839.9207763671875, 755.3568115234375]",2,"{'dorsal fin': 0.24391496181488037, 'whale': 0.10138595104217529}"
240,marine mammal,0.15562695264816284,"[462.0451354980469, 644.1054077148438, 850.5990600585938, 760.6578979492188]",2,"{'marine mammal': 0.15562695264816284, 'whale': 0.15015608072280884}"
240,marine mammal,0.12680386006832123,"[195.60316467285156, 506.88427734375, 242.97286987304688, 527.3499755859375]",1,{'marine mammal': 0.12680386006832123}
270,marine mammal,0.14320677518844604,"[678.8500366210938, 657.8618774414062, 1096.642822265625, 764.3181762695312]",1,{'marine mammal': 0.14320677518844604}
270,whale,0.07494565844535828,"[679.5625, 659.6605834960938, 830.1039428710938, 763.4483642578125]",1,{'whale': 0.07494565844535828}
270,dorsal fin,0.06378534436225891,"[681.4592895507812, 659.6475219726562, 755.0304565429688, 761.3190307617188]",1,{'dorsal fin': 0.06378534436225891}
300,marine mammal,0.4209796190261841,"[679.6444702148438, 681.4264526367188, 731.6369018554688, 768.6798706054688]",2,"{'marine mammal': 0.4209796190261841, 'dorsal fin': 0.36498376727104187}"
330,marine mammal,0.4388485848903656,"[674.7279663085938, 700.7254638671875, 712.7787475585938, 764.1453247070312]",2,"{'marine mammal': 0.4388485848903656, 'dorsal fin': 0.3596425950527191}"
330,marine mammal,0.08712360262870789,"[879.1036376953125, 402.7610778808594, 892.08984375, 437.7761535644531]",1,{'marine mammal': 0.08712360262870789}
360,marine mammal,0.33733615279197693,"[672.1743774414062, 718.5377197265625, 698.6203002929688, 769.6594848632812]",3,"{'marine mammal': 0.33733615279197693, 'dorsal fin': 0.21160751581192017, 'whale': 0.07051576673984528}"
360,marine mammal,0.07742564380168915,"[879.3251953125, 402.4532165527344, 892.0711669921875, 437.5540771484375]",1,{'marine mammal': 0.07742564380168915}
390,marine mammal,0.051197271794080734,"[879.0115356445312, 402.8211364746094, 891.1089477539062, 434.6633605957031]",1,{'marine mammal': 0.051197271794080734}
420,whale,0.06171174719929695,"[298.9442138671875, 363.7273864746094, 315.07269287109375, 376.3138732910156]",1,{'whale': 0.06171174719929695}
480,marine mammal,0.8076973557472229,"[1003.5309448242188, 703.3070678710938, 1122.3193359375, 736.3817749023438]",2,"{'marine mammal': 0.8076973557472229, 'whale': 0.6191510558128357}"
510,whale,0.3103858530521393,"[961.0684814453125, 687.2260131835938, 1101.0772705078125, 724.9334716796875]",2,"{'whale': 0.3103858530521393, 'marine mammal': 0.26565492153167725}"
540,marine mammal,0.0758267268538475,"[1060.30810546875, 693.4010009765625, 1084.49853515625, 722.1016845703125]",1,{'marine mammal': 0.0758267268538475}
570,whale,0.2404947280883789,"[1011.0866088867188, 641.1063232421875, 1271.1658935546875, 710.341796875]",2,"{'whale': 0.10281143337488174, 'marine mammal': 0.2158413678407669}"
570,dorsal fin,0.057018812745809555,"[1237.052490234375, 643.7845458984375, 1262.7791748046875, 696.0078735351562]",1,{'dorsal fin': 0.057018812745809555}
600,whale,0.44314685463905334,"[989.7017822265625, 597.7161254882812, 1280.420166015625, 715.7479248046875]",1,{'whale': 0.0505974180996418}
600,dorsal fin,0.08275089412927628,"[1232.421630859375, 599.6005859375, 1265.0877685546875, 687.5364990234375]",1,{'dorsal fin': 0.08275089412927628}
