frame,track_id,n_keypoints,rostrum_tip_x,rostrum_tip_y,rostrum_tip_conf,left_caudal_fluke_x,left_caudal_fluke_y,left_caudal_fluke_conf,right_caudal_fluke_x,right_caudal_fluke_y,right_caudal_fluke_conf,left_pect_fin_tip_x,left_pect_fin_tip_y,left_pect_fin_tip_conf,right_pect_fin_tip_x,right_pect_fin_tip_y,right_pect_fin_tip_conf,mid_saddle_patch_x,mid_saddle_patch_y,mid_saddle_patch_conf,Caudal_peduncle_x,Caudal_peduncle_y,Caudal_peduncle_conf
63,1,4,2051.0,851.0,0.5378,,,,,,,2115.0,931.0,0.206,2203.0,847.0,0.226,2211.0,883.0,0.3753,,,
66,1,4,2029.0,828.0,0.4878,,,,,,,2097.0,916.0,0.1839,2189.0,828.0,0.1298,2197.0,864.0,0.7956,,,
72,1,4,1990.0,765.0,0.589,,,,,,,2054.0,845.0,0.2037,2146.0,765.0,0.1703,2158.0,797.0,0.5287,,,
75,1,5,1976.0,733.0,0.4677,,,,2328.0,813.0,0.118,2032.0,817.0,0.1952,2084.0,725.0,0.1121,2136.0,769.0,0.9269,,,
78,1,5,1954.0,696.0,0.5922,,,,2314.0,784.0,0.2921,2022.0,788.0,0.1889,,,,2122.0,740.0,0.7991,2262.0,796.0,0.1224
81,1,5,1949.0,660.0,0.7338,,,,2301.0,756.0,0.2267,2013.0,752.0,0.1907,2069.0,660.0,0.1129,2113.0,708.0,1.0586,,,
84,1,6,1940.0,625.0,0.7512,,,,2296.0,725.0,0.3052,1992.0,713.0,0.1947,2072.0,625.0,0.1456,2104.0,677.0,1.0711,2244.0,741.0,0.1328
87,1,6,1930.0,591.0,0.7097,,,,2286.0,703.0,0.27,1986.0,683.0,0.2166,2054.0,595.0,0.2252,2094.0,651.0,0.7471,2238.0,719.0,0.1284
90,1,5,1912.0,624.0,0.6096,,,,2272.0,728.0,0.2861,1976.0,716.0,0.1634,2048.0,624.0,0.2195,2076.0,680.0,1.1294,,,
99,1,6,1843.0,765.0,0.6608,,,,2211.0,877.0,0.3567,1911.0,857.0,0.1505,1987.0,761.0,0.1886,2011.0,829.0,1.0272,2155.0,893.0,0.1388
102,1,6,1822.0,798.0,0.7729,,,,2186.0,914.0,0.4363,1886.0,890.0,0.2022,1966.0,798.0,0.1993,1990.0,870.0,0.7956,2126.0,930.0,0.1855
105,1,6,1800.0,796.0,0.7796,,,,2168.0,920.0,0.4159,1864.0,896.0,0.178,1936.0,796.0,0.2072,1964.0,864.0,0.9286,2108.0,932.0,0.2182
108,1,6,1783.0,748.0,0.7662,,,,2151.0,872.0,0.3021,1847.0,856.0,0.1699,1915.0,752.0,0.2343,1947.0,816.0,0.8082,2095.0,888.0,0.179
111,1,6,1769.0,678.0,0.7098,,,,2137.0,806.0,0.3329,1825.0,778.0,0.1282,1901.0,686.0,0.2232,1929.0,746.0,0.717,2081.0,822.0,0.156
114,1,6,1747.0,556.0,0.6478,,,,2115.0,684.0,0.1507,1823.0,672.0,0.1113,1891.0,560.0,0.2758,1895.0,636.0,0.2796,2067.0,696.0,0.1002
117,1,6,1732.0,435.0,0.6852,,,,2116.0,567.0,0.2897,1796.0,535.0,0.1676,1876.0,443.0,0.1817,1912.0,515.0,0.884,2060.0,587.0,0.1872
120,1,7,1726.0,444.0,0.7945,2050.0,644.0,0.12,2110.0,572.0,0.3656,1790.0,536.0,0.1724,1866.0,444.0,0.2562,1898.0,524.0,0.9074,2046.0,592.0,0.2735
123,1,7,1721.0,462.0,0.9195,2041.0,666.0,0.1135,2105.0,594.0,0.3474,1785.0,554.0,0.1921,1861.0,466.0,0.234,1897.0,546.0,0.7821,2037.0,610.0,0.2076
126,1,7,1717.0,477.0,0.8374,2037.0,685.0,0.1243,2097.0,613.0,0.3907,1785.0,577.0,0.197,1853.0,481.0,0.2116,1893.0,565.0,0.5602,2033.0,633.0,0.2853
129,1,7,1721.0,490.0,0.8019,2037.0,702.0,0.1225,2097.0,630.0,0.4477,1781.0,586.0,0.2241,1853.0,494.0,0.1952,1889.0,578.0,0.8657,2033.0,646.0,0.2745
132,1,7,1725.0,506.0,0.8325,2037.0,718.0,0.1167,2101.0,646.0,0.4359,1797.0,618.0,0.1814,1861.0,514.0,0.2801,1893.0,594.0,0.8744,2037.0,666.0,0.2465
135,1,7,1727.0,522.0,0.7957,2043.0,734.0,0.1176,2107.0,662.0,0.4376,1807.0,638.0,0.1616,1871.0,526.0,0.2401,1899.0,610.0,0.9576,2039.0,682.0,0.3035
138,1,6,1733.0,534.0,0.848,,,,2109.0,678.0,0.4273,1801.0,642.0,0.2192,1873.0,538.0,0.2764,1905.0,626.0,1.0081,2045.0,694.0,0.2906
141,1,6,1743.0,546.0,0.885,,,,2115.0,690.0,0.4067,1807.0,650.0,0.2362,1879.0,550.0,0.3194,1911.0,638.0,0.8754,2055.0,710.0,0.2811
144,1,7,1749.0,534.0,0.8273,2061.0,754.0,0.1045,2125.0,686.0,0.4136,1805.0,638.0,0.2175,1893.0,546.0,0.2352,1917.0,626.0,0.8753,2053.0,698.0,0.2399
147,1,7,1758.0,505.0,0.8903,2070.0,725.0,0.113,2130.0,653.0,0.4201,1830.0,621.0,0.2082,1898.0,513.0,0.2487,1926.0,597.0,0.8662,2066.0,673.0,0.2625
150,1,7,1764.0,514.0,0.9133,2076.0,742.0,0.1258,2140.0,674.0,0.4769,1828.0,630.0,0.2411,1904.0,526.0,0.2967,1928.0,610.0,0.8319,2076.0,686.0,0.2681
153,1,7,1773.0,533.0,0.8647,2085.0,753.0,0.1086,2145.0,689.0,0.4638,1833.0,641.0,0.2529,1905.0,541.0,0.2707,1941.0,629.0,0.7874,2077.0,701.0,0.2909
192,1,7,1887.0,769.0,0.9252,2171.0,1021.0,0.1412,2247.0,949.0,0.4241,1939.0,885.0,0.2355,2015.0,785.0,0.2836,2043.0,877.0,0.8047,2183.0,961.0,0.2738
195,1,7,1893.0,781.0,0.938,2177.0,1029.0,0.125,2253.0,961.0,0.3963,1937.0,893.0,0.2531,2021.0,797.0,0.3286,2045.0,889.0,0.5498,2181.0,969.0,0.2766
201,1,7,1896.0,790.0,0.8058,2180.0,1046.0,0.1287,2256.0,970.0,0.3552,1936.0,902.0,0.278,2028.0,810.0,0.3323,2048.0,902.0,0.5328,2188.0,986.0,0.307
