frame,track_id,brightness,white_pct,bx,by
63,1,68.86984375,0.9062499999999999,2099,860
66,1,68.39796875,0.43750000000000006,2079,838
72,1,66.7465625,0.46875,2040,774
75,1,66.56453125,0.421875,2024,743
78,1,68.2909375,0.734375,2004,709
81,1,68.051875,0.640625,1998,674
84,1,67.71578125,0.234375,1989,640
87,1,68.3021875,1.046875,1979,609
90,1,68.98390625,0.0,1961,640
99,1,66.3671875,0.0,1893,784
102,1,65.04109375,0.0,1872,819
105,1,65.7328125,0.40625,1849,816
108,1,66.16953125,0.0,1832,768
111,1,66.708125,0.0,1817,698
114,1,68.18265625,0.0,1791,580
117,1,66.6925,0.0,1786,459
120,1,66.03109375,0.671875,1777,468
123,1,65.516875,1.015625,1773,487
126,1,64.0190625,0.34375,1769,503
129,1,62.8846875,0.45312499999999994,1771,516
132,1,64.5925,0.45312499999999994,1775,532
135,1,66.165625,0.703125,1778,548
138,1,65.9496875,0.8906249999999999,1784,561
141,1,64.10984375,0.921875,1793,573
144,1,63.97328125,0.09375,1799,561
147,1,64.25609375,0.6875,1808,532
150,1,65.2803125,0.9062499999999999,1813,542
153,1,64.719375,0.921875,1823,561
192,1,62.903125,0.796875,1933,801
195,1,61.38328125,0.8750000000000001,1938,813
201,1,59.238125,0.8906249999999999,1941,823
213,1,58.18421875,1.03125,1929,817
216,1,57.4259375,1.125,1928,813
219,1,58.44671875,1.0625,1921,804
285,1,68.8053125,3.0,1792,645
288,1,102.9021875,17.640625,1784,636
303,1,143.89484375,12.843750000000002,1737,602
309,1,137.6503125,13.125,1739,623
312,1,125.825625,10.40625,1738,624
315,1,117.1715625,9.46875,1733,630
318,1,109.9825,9.625,1733,633
321,1,101.23421875,8.78125,1727,636
324,1,93.3153125,7.640624999999999,1726,639
327,1,90.44375,7.984375000000001,1726,645
330,1,88.84875,7.968749999999999,1726,652
333,1,91.1759375,9.46875,1726,657
336,1,88.52421875,8.65625,1729,666
339,1,79.72765625,6.5,1733,671
342,1,75.93140625,5.015625,1736,674
345,1,76.3909375,4.484375,1733,683
348,1,68.56078125,3.1875,1750,693
351,1,69.7425,3.4062500000000004,1756,699
354,1,67.6653125,2.546875,1756,704
357,1,63.5921875,0.921875,1756,702
360,1,61.13796875,0.578125,1753,696
363,1,58.29671875,0.359375,1750,689
366,1,57.78625,0.3125,1741,683
369,1,57.49953125,0.28125,1733,676
372,1,56.3990625,0.03125,1728,670
375,1,56.62015625,0.0,1716,661
378,1,57.015625,0.0,1707,651
381,1,56.859375,0.0,1700,640
384,1,57.0165625,0.0,1692,629
387,1,58.37140625,0.078125,1682,619
393,1,60.5171875,0.0,1661,593
396,1,62.51921875,0.171875,1648,582
399,1,63.7490625,0.25,1638,571
429,1,63.3271875,0.078125,1523,446
435,1,64.18671875,0.015625,1504,431
438,1,64.92625,0.0,1492,424
441,1,64.394375,0.0,1487,418
444,1,65.8315625,0.0,1478,412
447,1,65.9740625,0.0,1470,407
456,1,65.4684375,0.0,1452,398
459,1,64.8540625,0.0,1451,394
483,1,66.31015625,0.015625,1444,362
486,1,68.5365625,0.0625,1450,357
489,1,67.510625,0.125,1464,354
492,1,65.77671875,0.0,1483,355
495,1,66.20203125,0.03125,1501,353
498,1,66.5003125,0.0,1522,353
501,1,67.1153125,0.0,1543,353
504,1,67.18015625,0.09375,1564,353
507,1,66.64953125,0.0,1591,356
510,1,64.765,0.0,1615,359
513,1,62.94265625,0.0,1639,363
516,1,62.9203125,0.03125,1660,363
519,1,62.73578125,0.015625,1684,368
522,1,63.39546875,0.0,1707,374
525,1,63.27625,0.0,1728,380
528,1,62.74078125,0.0,1752,380
531,1,62.2553125,0.0,1773,383
534,1,62.85546875,0.0,1791,389
540,1,63.76578125,0.0,1827,389
543,1,63.45109375,0.0,1845,389
546,1,62.955625,0.0,1860,392
549,1,62.20703125,0.0,1875,393
552,1,62.6596875,0.0,1884,399
555,1,62.82390625,0.0,1896,409
558,1,62.803125,0.0,1905,422
561,1,61.97453125,0.0,1914,434
564,1,62.48171875,0.0,1920,453
567,1,62.71390625,0.0,1929,472
570,1,62.09375,0.0,1939,493
573,1,63.0965625,0.0,1942,518
576,1,63.9790625,0.0,1945,544
579,1,62.90859375,0.0,1954,569
582,1,63.270625,0.0,1960,598
585,1,63.326875,0.0,1966,630
588,1,63.2590625,0.0,1969,658
591,1,62.03359375,0.0,1972,693
594,1,62.45015625,0.0,1972,725
597,1,61.8890625,0.0,1975,754
600,1,62.19671875,0.046875,1975,788
603,1,61.79953125,0.0,1978,817
606,1,61.74953125,0.0,1980,849
609,1,62.045,0.0,1986,881
612,1,62.87171875,0.0,1983,909
615,1,62.76125,0.0,1983,928
618,1,63.97609375,0.0,1977,944
621,1,62.92046875,0.0,1974,951
624,1,62.66984375,0.0,1971,960
627,1,63.21171875,0.0,1962,966
630,1,62.32890625,0.0,1956,963
633,1,63.64953125,0.0,1944,963
636,1,64.0484375,0.0,1935,957
639,1,63.47765625,0.0,1923,953
642,1,63.5084375,0.0,1917,944
645,1,63.39578125,0.0,1902,938
648,1,62.76109375,0.0,1899,931
651,1,62.30296875,0.0,1887,922
654,1,60.94140625,0.0,1877,915
657,1,59.97828125,0.0,1869,906
660,1,60.0775,0.0,1860,899
663,1,60.7646875,0.0,1852,893
666,1,62.47578125,0.0,1847,884
669,1,62.87875,0.0,1837,877
672,1,63.5040625,0.046875,1828,871
675,1,65.0159375,0.0,1819,863
678,1,63.8490625,0.0,1807,854
681,1,64.82515625,0.0,1797,844
684,1,63.85203125,0.0,1790,838
687,1,63.47625,0.0,1777,828
690,1,63.33671875,0.0,1765,828
693,1,62.429375,0.0,1762,825
696,1,62.8415625,0.0,1752,825
699,1,64.03921875,0.0,1741,828
702,1,64.47015625,0.0,1734,833
705,1,63.42484375,0.0,1725,838
708,1,63.7328125,0.0,1714,847
711,1,63.994375,0.0,1708,854
714,1,65.02984375,0.0,1698,860
717,1,64.87109375,0.0,1692,864
720,1,65.80234375,0.0,1681,874
723,1,66.16921875,0.0,1675,882
726,1,67.3521875,0.0,1664,889
729,1,67.6134375,0.0,1659,899
732,1,68.4040625,0.0,1648,906
735,1,70.11640625,0.0,1641,915
738,1,68.75140625,0.0,1635,925
741,1,68.7884375,0.0,1627,938
744,1,69.09171875,0.0,1620,950
747,1,70.6915625,0.0,1612,962
750,1,71.0715625,0.0,1600,972
753,1,71.22625,0.0,1600,982
756,1,70.395625,0.0,1591,998
759,1,69.90125,0.0,1582,1008
762,1,72.0146875,0.0625,1570,1020
765,1,71.823125,0.0,1567,1030
768,1,73.73796875,0.0,1562,1036
771,1,72.8171875,0.0,1561,1043
774,1,73.14578125,0.0,1555,1049
777,1,71.35984375,0.015625,1552,1052
780,1,70.47046875,0.0,1555,1060
789,1,71.4275,0.0,1544,1063
792,1,72.28484375,0.0,1537,1060
795,1,74.0075,0.0,1528,1057
801,1,72.196875,0.0,1519,1048
807,1,70.9053125,0.0,1516,1038
810,1,72.1328125,0.09375,1507,1032
813,1,72.38,0.0,1513,1028
816,1,74.61890625,0.140625,1507,1025
819,1,71.465,0.0,1513,1016
822,1,71.20921875,0.03125,1510,1012
825,1,70.3875,0.03125,1513,1003
828,1,70.69125,0.03125,1514,1000
831,1,70.33921875,0.0,1516,993
834,1,71.3025,0.0,1520,990
837,1,70.59109375,0.0,1522,981
843,1,69.47265625,0.046875,1526,971
846,1,70.16328125,0.03125,1531,965
849,1,70.5696875,0.078125,1537,958
852,1,69.5084375,0.34375,1541,952
855,1,67.74890625,0.203125,1551,946
858,1,69.563125,0.359375,1554,936
861,1,67.88046875,0.25,1564,930
864,1,69.06046875,0.65625,1571,924
867,1,68.26796875,0.828125,1579,917
870,1,68.4859375,1.234375,1586,911
873,1,68.234375,0.984375,1595,905
876,1,65.28390625,0.8750000000000001,1604,899
