frame,track_id,class_name,confidence,center_x,center_y,bbox_x1,bbox_y1,bbox_x2,bbox_y2
63,1,whale,0.44444021582603455,2204,897,2048.2,841.6,2361.3,953.8
66,1,marine mammal,0.6798507571220398,2189,899,2016.6,825.1,2361.7,975.8
72,1,marine mammal,0.7057511806488037,2125,883,1962.5,806.6,2289.5,960.8
75,1,whale,0.4854179322719574,2105,860,1936.8,799.7,2274.2,922.3
78,1,marine mammal,0.7760246396064758,2085,863,1905.4,778.2,2264.8,948.4
81,1,marine mammal,0.8282430768013,2056,841,1876.4,753.2,2236.0,929.5
84,1,marine mammal,0.7993923425674438,2026,815,1843.3,725.6,2210.4,903.7
87,1,marine mammal,0.8129531741142273,1999,787,1816.8,694.4,2182.1,880.0
90,1,marine mammal,0.5805610418319702,1982,770,1799.7,666.9,2164.9,875.4
99,1,marine mammal,0.8003221154212952,1925,757,1742.2,654.6,2109.1,860.2
102,1,marine mammal,0.8038750886917114,1907,749,1720.3,645.6,2094.7,853.8
105,1,whale,0.6444003582000732,1888,740,1700.4,641.3,2076.5,838.0
108,1,whale,0.5452914237976074,1871,727,1686.7,632.9,2055.6,822.5
111,1,whale,0.5387794375419617,1858,727,1671.4,623.0,2046.1,832.9
114,1,marine mammal,0.7093659043312073,1830,673,1640.9,560.9,2019.3,787.1
117,1,whale,0.5295112133026123,1793,584,1600.4,473.0,1986.5,696.5
120,1,whale,0.38155391812324524,1789,564,1596.8,453.1,1983.5,675.7
123,1,marine mammal,0.48480287194252014,1779,553,1585.4,439.3,1973.1,667.3
126,1,whale,0.6118065118789673,1772,541,1579.1,427.7,1965.4,656.3
129,1,whale,0.49796247482299805,1774,525,1581.6,409.1,1966.0,642.9
132,1,whale,0.6286661624908447,1773,512,1579.1,392.9,1966.7,630.4
135,1,whale,0.4373129904270172,1770,499,1579.8,383.4,1961.3,615.1
138,1,whale,0.4170984923839569,1769,489,1577.3,367.4,1961.4,611.4
141,1,whale,0.3929513394832611,1775,479,1584.9,358.1,1965.7,600.8
144,1,whale,0.3651050925254822,1774,467,1586.4,344.7,1963.0,589.9
147,1,whale,0.5187130570411682,1773,447,1585.5,326.7,1963.4,569.1
150,1,whale,0.2652435898780823,1772,440,1581.0,318.1,1964.0,561.4
153,1,whale,0.5022337436676025,1770,427,1581.1,304.5,1961.0,551.9
192,1,whale,0.3997683823108673,1769,415,1591.3,292.1,1946.7,539.5
195,1,whale,0.457764208316803,1767,414,1585.8,285.4,1949.1,543.4
201,1,whale,0.2606387734413147,1756,401,1577.3,273.7,1935.3,529.4
213,1,whale,0.353739470243454,1744,386,1566.0,252.2,1923.9,520.1
216,1,whale,0.42593494057655334,1742,379,1562.4,245.3,1922.6,513.0
219,1,whale,0.28798893094062805,1734,369,1557.7,236.0,1910.5,504.0
285,1,whale,0.3499797582626343,1639,309,1481.9,163.2,1797.3,457.0
288,1,whale,0.2944168150424957,1636,303,1474.4,152.0,1797.1,453.4
303,1,whale,0.3246329724788666,1622,254,1448.0,110.2,1796.9,399.0
309,1,whale,0.3660927414894104,1615,240,1433.1,97.7,1797.0,383.2
312,1,whale,0.4085037410259247,1615,234,1427.9,84.8,1803.3,383.5
315,1,whale,0.44582995772361755,1617,225,1423.3,75.5,1810.6,373.9
318,1,marine mammal,0.42028728127479553,1615,216,1417.0,63.7,1812.1,368.3
321,1,whale,0.4256828725337982,1612,212,1409.3,52.4,1817.1,371.7
324,1,whale,0.4623383581638336,1619,203,1404.9,42.3,1835.5,364.4
327,1,whale,0.32142212986946106,1606,192,1396.7,29.7,1816.2,354.7
330,1,whale,0.36442187428474426,1610,186,1391.6,17.9,1829.4,354.4
333,1,whale,0.5043145418167114,1603,178,1387.0,4.1,1819.3,353.8
336,1,whale,0.3411821722984314,1592,163,1382.1,-6.8,1801.2,333.0
339,1,whale,0.3724289834499359,1585,165,1407.0,27.6,1764.2,304.9
342,1,whale,0.326367050409317,1572,149,1393.2,4.7,1750.7,292.9
345,1,whale,0.5871168971061707,1575,145,1396.3,2.8,1754.4,287.9
348,1,whale,0.3329988718032837,1574,137,1388.5,-12.7,1762.1,287.0
351,1,whale,0.23406419157981873,1577,135,1392.5,-24.9,1762.4,295.1
