frame,track_id,n_keypoints,rostrum_tip_x,rostrum_tip_y,rostrum_tip_conf,left_caudal_fluke_x,left_caudal_fluke_y,left_caudal_fluke_conf,right_caudal_fluke_x,right_caudal_fluke_y,right_caudal_fluke_conf,left_pect_fin_tip_x,left_pect_fin_tip_y,left_pect_fin_tip_conf,right_pect_fin_tip_x,right_pect_fin_tip_y,right_pect_fin_tip_conf,mid_saddle_patch_x,mid_saddle_patch_y,mid_saddle_patch_conf,Caudal_peduncle_x,Caudal_peduncle_y,Caudal_peduncle_conf
3087,58,3,1256.0,1017.0,0.2617,,,,,,,,,,1300.0,1173.0,0.1554,1112.0,1181.0,0.6219,,,
3090,58,3,1224.0,1027.0,0.2981,,,,,,,,,,1260.0,1179.0,0.1183,1076.0,1191.0,0.8565,,,
3093,58,2,1181.0,1036.0,0.2666,,,,,,,,,,,,,1037.0,1204.0,0.814,,,
3096,58,3,1141.0,1040.0,0.3183,,,,,,,,,,1189.0,1288.0,0.1231,1001.0,1208.0,0.4494,,,
3099,58,4,1104.0,1052.0,0.2958,,,,,,,960.0,1132.0,0.1326,1144.0,1300.0,0.1704,960.0,1220.0,0.5699,,,
3102,58,2,1061.0,1058.0,0.3494,,,,,,,,,,,,,921.0,1222.0,0.7577,,,
3105,58,4,1024.0,1061.0,0.3687,,,,1024.0,1053.0,0.1023,928.0,1077.0,0.1252,,,,876.0,1233.0,0.6506,,,
3108,58,4,981.0,1068.0,0.421,,,,989.0,1060.0,0.1123,889.0,1084.0,0.1102,,,,837.0,1236.0,0.7561,,,
3111,58,3,947.0,1054.0,0.4133,,,,947.0,1046.0,0.129,,,,,,,799.0,1226.0,0.3653,,,
3114,58,3,909.0,1042.0,0.4107,,,,909.0,1034.0,0.1753,,,,,,,757.0,1206.0,0.3148,,,
3117,58,3,877.0,1027.0,0.411,,,,,,,,,,861.0,1023.0,0.1922,737.0,1199.0,0.2335,,,
3120,58,4,849.0,1017.0,0.4784,,,,853.0,1009.0,0.1825,,,,837.0,1013.0,0.1945,677.0,1181.0,0.1979,,,
3123,58,4,821.0,1010.0,0.5003,,,,825.0,1002.0,0.2094,,,,809.0,1006.0,0.1797,649.0,1178.0,0.3537,,,
3126,58,4,799.0,1002.0,0.5238,,,,799.0,994.0,0.1542,,,,787.0,998.0,0.1931,835.0,1494.0,0.3529,,,
3129,58,4,778.0,998.0,0.4612,,,,782.0,994.0,0.1787,,,,766.0,990.0,0.1353,626.0,1182.0,0.2297,,,
3132,58,4,756.0,987.0,0.3302,,,,760.0,991.0,0.1201,,,,836.0,1255.0,0.1098,700.0,1019.0,0.1571,,,
3135,58,4,733.0,987.0,0.3288,,,,605.0,1371.0,0.1136,,,,817.0,1255.0,0.1439,549.0,1159.0,0.2118,,,
3138,58,2,817.0,1165.0,0.2878,,,,,,,,,,789.0,1257.0,0.1743,,,,,,
3141,58,2,696.0,983.0,0.3149,,,,,,,,,,780.0,1239.0,0.1084,,,,,,
3144,58,4,791.0,1172.0,0.2625,,,,,,,375.0,1264.0,0.1071,747.0,1248.0,0.1496,463.0,1140.0,0.2151,,,
3147,58,3,764.0,1168.0,0.1897,,,,,,,,,,728.0,1248.0,0.1473,444.0,1136.0,0.2257,,,
3150,58,5,748.0,1161.0,0.2064,,,,756.0,1157.0,0.1265,304.0,1301.0,0.1028,712.0,1245.0,0.1676,620.0,1265.0,0.3862,,,
3153,58,5,257.0,1255.0,0.2903,,,,341.0,1335.0,0.1049,,,,705.0,1247.0,0.1582,381.0,1243.0,0.3174,597.0,1263.0,0.105
3156,58,5,242.0,1260.0,0.3772,246.0,1276.0,0.1007,322.0,1332.0,0.18,,,,682.0,1248.0,0.1189,586.0,1260.0,0.149,,,
3159,58,4,221.0,1260.0,0.4065,,,,301.0,1340.0,0.1546,221.0,1248.0,0.1087,677.0,1244.0,0.1266,,,,,,
3162,58,3,204.0,1261.0,0.5236,,,,,,,,,,668.0,1233.0,0.1054,324.0,1217.0,0.3867,,,
3165,58,3,285.0,1339.0,0.2814,,,,,,,369.0,1091.0,0.1144,,,,709.0,1087.0,0.4253,,,
3168,58,2,272.0,1332.0,0.2231,,,,,,,,,,,,,396.0,1108.0,0.4981,,,
3171,58,2,605.0,977.0,0.2774,,,,,,,,,,,,,393.0,1105.0,0.4638,,,
3174,58,3,598.0,978.0,0.3617,,,,606.0,978.0,0.134,,,,,,,390.0,1102.0,0.5043,,,
3177,58,3,597.0,980.0,0.3154,,,,613.0,980.0,0.1271,,,,,,,521.0,1256.0,0.4665,,,
3180,58,3,594.0,974.0,0.3046,,,,606.0,966.0,0.166,,,,,,,390.0,1090.0,0.9036,,,
3183,58,3,593.0,970.0,0.3424,,,,609.0,970.0,0.1661,,,,,,,393.0,1086.0,1.1507,,,
3186,58,3,601.0,972.0,0.3463,,,,613.0,968.0,0.2022,,,,,,,393.0,1084.0,0.2488,,,
3189,58,2,599.0,963.0,0.2547,,,,607.0,959.0,0.201,,,,,,,,,,,,
