frame,track_id,class_name,confidence,center_x,center_y,bbox_x1,bbox_y1,bbox_x2,bbox_y2
3087,58,whale,0.20186515152454376,1164,1128,1059.3,1019.8,1269.8,1238.1
3090,58,whale,0.30411291122436523,1173,1113,1069.9,1007.2,1276.0,1219.6
3093,58,whale,0.2895943522453308,1180,1102,1076.0,993.3,1284.9,1212.6
3096,58,whale,0.39825329184532166,1189,1087,1087.2,978.0,1290.1,1197.0
3099,58,whale,0.3135363459587097,1197,1072,1099.2,962.2,1296.8,1182.0
3102,58,whale,0.39384207129478455,1204,1059,1106.5,949.8,1302.4,1168.2
3105,58,whale,0.17569078505039215,1210,1046,1112.7,935.3,1307.9,1158.3
3108,58,whale,0.19480200111865997,1214,1045,1115.6,923.1,1313.8,1168.1
3111,58,whale,0.19480200111865997,1225,1037,1129.0,910.7,1322.8,1164.9
3114,58,whale,0.19480200111865997,1239,1028,1144.8,896.0,1333.1,1161.1
3117,58,whale,0.30456840991973877,1247,1006,1150.3,884.7,1344.3,1128.2
3120,58,whale,0.6530510783195496,1247,989,1144.3,874.8,1349.9,1105.3
3123,58,whale,0.6530510783195496,1253,976,1148.6,864.0,1358.2,1089.6
3126,58,whale,0.19201460480690002,1259,961,1147.2,850.6,1372.3,1072.3
3129,58,whale,0.2809988856315613,1269,942,1153.0,837.4,1385.1,1047.0
3132,58,whale,0.5927828550338745,1277,932,1157.1,822.6,1398.0,1041.7
3135,58,whale,0.6903921961784363,1282,929,1154.5,810.9,1410.9,1046.9
3138,58,whale,0.6632452011108398,1286,925,1147.6,795.7,1425.3,1053.7
3141,58,whale,0.5716050267219543,1293,919,1151.3,787.7,1434.7,1050.3
3144,58,whale,0.529053807258606,1301,911,1160.3,778.3,1441.9,1044.5
3147,58,whale,0.674818754196167,1305,902,1163.4,769.6,1447.4,1037.0
3150,58,whale,0.6220982074737549,1304,906,1155.0,763.5,1453.8,1049.7
3153,58,whale,0.666290283203125,1306,898,1154.5,758.5,1458.3,1038.8
3156,58,whale,0.7275894284248352,1310,889,1154.6,753.9,1466.2,1025.8
3159,58,whale,0.35662561655044556,1318,882,1166.6,754.6,1470.8,1009.6
3162,58,whale,0.47949346899986267,1334,872,1191.6,751.6,1476.4,991.7
3165,58,whale,0.41391873359680176,1346,859,1209.9,743.9,1484.0,974.8
3168,58,whale,0.29995137453079224,1353,845,1229.4,737.2,1479.1,953.9
3171,58,whale,0.33219149708747864,1355,836,1244.6,735.7,1465.9,938.4
3174,58,whale,0.19438126683235168,1358,831,1261.2,742.4,1454.6,920.5
3177,58,whale,0.19438126683235168,1364,820,1277.0,740.2,1452.1,901.5
3180,58,whale,0.19438126683235168,1371,811,1292.2,738.7,1449.5,883.0
3183,58,whale,0.19438126683235168,1374,802,1305.1,739.1,1444.5,864.3
3186,58,whale,0.19438126683235168,1379,791,1319.0,739.3,1440.0,843.9
3189,58,whale,0.21240699291229248,1452,779,1277.3,643.7,1625.9,916.0
3192,58,whale,0.21240699291229248,1447,781,1271.7,645.4,1623.4,918.3
3195,58,marine mammal,0.17483307421207428,1446,781,1256.8,630.6,1635.6,930.8
3198,58,marine mammal,0.17483307421207428,1440,781,1248.1,626.8,1634.2,937.9
3201,58,whale,0.3899010419845581,1485,749,1319.1,610.9,1650.7,888.0
3204,58,whale,0.3899010419845581,1495,739,1339.5,603.2,1652.6,876.2
3207,58,whale,0.3899010419845581,1508,728,1355.7,596.0,1659.8,861.0
3210,58,marine mammal,0.3263712227344513,1497,734,1310.7,577.7,1683.8,891.6
3213,58,marine mammal,0.29314693808555603,1486,741,1272.9,562.4,1698.7,920.1
3216,58,marine mammal,0.29314693808555603,1485,735,1255.6,543.4,1713.8,927.2
3219,58,marine mammal,0.29314693808555603,1481,732,1243.7,528.8,1719.2,935.6
3222,58,marine mammal,0.29314693808555603,1481,727,1232.4,515.4,1730.9,941.5
3225,58,marine mammal,0.29314693808555603,1482,722,1218.7,498.0,1744.7,947.4
3228,58,marine mammal,0.29314693808555603,1475,718,1205.1,480.1,1745.0,958.1
3231,58,marine mammal,0.29314693808555603,1469,713,1190.4,460.9,1749.6,965.7
3234,58,marine mammal,0.29314693808555603,1471,695,1179.0,418.8,1764.6,971.6
3237,58,marine mammal,0.29314693808555603,1469,674,1166.9,369.9,1772.6,978.8
3240,58,marine mammal,0.29314693808555603,1464,658,1151.3,331.6,1778.5,985.7
3243,58,marine mammal,0.29314693808555603,1463,647,1134.6,305.1,1793.8,989.9
3246,58,marine mammal,0.29314693808555603,1460,632,1114.8,269.4,1805.9,995.7
3249,58,marine mammal,0.29314693808555603,1454,621,1095.5,240.1,1813.1,1001.7
3252,58,marine mammal,0.29314693808555603,1449,610,1076.9,213.0,1821.5,1007.1
3255,58,marine mammal,0.29314693808555603,1442,588,1054.7,164.1,1832.0,1011.8
3258,58,marine mammal,0.29314693808555603,1437,576,1031.2,137.7,1844.0,1015.8
3300,58,whale,0.19042612612247467,4271,302,4060.6,148.1,4483.1,456.4
3303,58,marine mammal,0.17251382768154144,4300,303,4088.3,147.8,4513.1,459.3
3306,58,marine mammal,0.29314810037612915,4301,301,4088.1,148.1,4515.0,455.6
3309,58,whale,0.13978169858455658,2003,791,1892.6,695.5,2113.8,888.0
3312,58,whale,0.23512931168079376,4339,808,4204.0,714.0,4475.2,901.9
3315,58,whale,0.13347852230072021,4321,831,4162.0,722.4,4480.8,940.5
3318,58,whale,0.3250291049480438,4324,851,4153.2,732.5,4494.9,970.2
3321,58,whale,0.28978368639945984,4357,842,4194.5,743.1,4519.0,942.3
3324,58,whale,0.28978368639945984,4353,849,4191.3,752.6,4516.1,947.4
3327,58,whale,0.29006877541542053,4376,842,4217.5,749.6,4534.5,936.7
3330,58,whale,0.30020877718925476,4396,833,4237.7,742.4,4555.9,925.3
3333,58,whale,0.4743812680244446,4405,828,4254.4,741.5,4554.9,915.1
3333,72,whale,0.23984575271606445,4430,400,4203.7,248.9,4656.8,551.9
3336,58,whale,0.5123175978660583,4418,822,4271.4,737.6,4565.4,908.2
3336,72,whale,0.3736606240272522,4445,394,4227.1,243.1,4665.3,544.9
3339,58,whale,0.19816946983337402,4433,817,4287.9,730.7,4578.9,903.4
3339,72,whale,0.22837036848068237,4462,387,4257.4,238.5,4666.8,535.9
3342,58,whale,0.5395798683166504,4438,810,4295.4,720.9,4581.9,900.6
3342,72,whale,0.3879452645778656,4456,388,4249.7,234.6,4663.2,542.3
3345,58,whale,0.27893778681755066,4446,805,4300.6,708.6,4591.1,902.0
3345,72,whale,0.23166243731975555,4467,386,4269.1,228.9,4665.3,544.3
3348,58,whale,0.2691965103149414,4387,793,4175.5,675.7,4599.6,912.6
3348,72,marine mammal,0.4200386703014374,4468,382,4270.3,222.5,4666.9,541.9
3351,58,whale,0.2705189883708954,4411,800,4212.4,679.6,4610.4,920.2
3351,72,whale,0.40458372235298157,4478,376,4281.6,218.9,4674.5,534.1
3354,58,whale,0.18903610110282898,4421,831,4243.6,727.5,4599.3,935.2
3354,72,whale,0.37698501348495483,4481,374,4285.5,217.5,4677.9,531.9
3357,58,whale,0.10157525539398193,4417,866,4230.0,787.8,4606.2,946.6
3357,72,whale,0.14343252778053284,4486,367,4285.8,213.6,4687.9,522.9
3360,58,whale,0.23214402794837952,4409,832,4227.0,717.1,4593.4,946.9
3360,72,whale,0.3502201735973358,4500,358,4290.3,208.8,4711.1,506.6
3363,58,whale,0.23214402794837952,4407,836,4220.3,717.6,4594.6,955.2
3363,72,whale,0.21952518820762634,4521,344,4297.7,205.4,4744.9,483.4
3366,58,whale,0.13284960389137268,4410,841,4210.9,734.4,4609.5,948.4
3366,72,whale,0.39478278160095215,4558,317,4311.4,197.9,4804.2,436.1
3369,58,whale,0.306969553232193,4407,834,4229.1,726.2,4586.2,942.5
3369,72,whale,0.39478278160095215,5124,-79,4322.8,194.7,5926.6,-350.6
3372,58,whale,0.2086789608001709,4411,822,4246.7,709.7,4576.2,934.0
3372,72,marine mammal,0.3279557526111603,4537,332,4326.3,183.7,4748.2,481.9
3375,58,whale,0.2086789608001709,4404,821,4242.4,709.3,4565.2,933.1
3375,72,whale,0.1688743531703949,4539,324,4330.0,179.3,4749.3,469.7
3378,58,whale,0.11751821637153625,4272,897,3975.5,889.7,4569.3,904.3
3378,72,whale,0.1422118842601776,4548,321,4337.1,175.0,4758.5,466.7
3381,58,whale,0.11751821637153625,4800,540,5037.9,184.4,4563.1,898.3
3381,72,whale,0.494342565536499,4582,303,4396.1,171.7,4768.7,436.8
3384,58,whale,0.11595269292593002,4469,753,4361.1,613.9,4578.5,894.1
3384,72,marine mammal,0.6356671452522278,4592,299,4393.5,165.5,4791.3,433.7
3387,58,whale,0.12923778593540192,4485,748,4371.7,648.0,4600.4,849.0
3387,72,marine mammal,0.25746285915374756,4605,294,4397.6,155.0,4813.4,434.1
3390,58,whale,0.11669094860553741,4495,734,4379.6,651.7,4612.7,817.0
3390,72,whale,0.47676143050193787,4611,288,4395.9,148.3,4828.3,428.4
3393,58,marine mammal,0.17593206465244293,4493,741,4362.6,655.4,4624.7,826.9
3393,72,marine mammal,0.4042251408100128,4623,281,4404.9,139.8,4841.8,423.7
3396,58,marine mammal,0.17593206465244293,4496,741,4355.0,662.4,4637.3,819.1
3396,72,whale,0.19476625323295593,4639,276,4419.9,135.5,4858.7,416.3
3399,58,marine mammal,0.17593206465244293,4498,738,4348.1,667.0,4647.5,810.0
3399,72,whale,0.4711027443408966,4681,257,4486.8,128.6,4875.1,385.1
3402,58,marine mammal,0.17593206465244293,4501,735,4343.3,669.7,4658.6,800.5
3402,72,whale,0.34532299637794495,4710,233,4526.8,120.7,4894.9,345.8
3405,58,marine mammal,0.17593206465244293,4504,732,4340.7,672.5,4669.5,792.3
3405,72,whale,0.12358485907316208,4726,221,4543.4,115.1,4909.2,326.9
3408,58,marine mammal,0.17593206465244293,4505,729,4334.8,674.8,4675.6,784.3
3408,72,whale,0.27999112010002136,4741,203,4561.1,109.8,4921.9,297.2
3411,58,marine mammal,0.17593206465244293,4505,728,4329.4,678.6,4680.7,779.0
3411,72,whale,0.5923967361450195,4757,186,4579.6,104.2,4934.7,267.5
3414,58,marine mammal,0.17593206465244293,4501,727,4321.5,682.2,4681.9,773.7
3414,72,whale,0.691238284111023,4764,179,4589.7,102.2,4939.6,257.7
3417,58,marine mammal,0.17593206465244293,4499,723,4315.2,682.5,4683.8,765.0
3417,72,whale,0.3702516555786133,4769,180,4592.4,95.4,4946.7,265.2
3420,58,marine mammal,0.17593206465244293,4498,721,4308.6,684.2,4686.8,759.3
3420,72,marine mammal,0.311379611492157,4756,194,4561.9,87.1,4951.0,302.5
3423,58,marine mammal,0.17593206465244293,4497,717,4304.9,683.7,4691.2,751.0
3423,72,whale,0.7647861242294312,4774,184,4587.1,81.7,4961.8,287.0
3426,58,marine mammal,0.17593206465244293,4496,716,4298.9,686.0,4693.1,747.0
3426,72,whale,0.6185844540596008,4791,178,4611.3,74.4,4971.4,281.5
3429,58,marine mammal,0.17593206465244293,4491,716,4291.3,688.9,4693.2,743.7
3429,72,whale,0.5149267315864563,4795,173,4618.0,66.2,4973.0,280.6
3432,58,marine mammal,0.17593206465244293,4490,716,4286.6,691.1,4694.9,740.1
3432,72,whale,0.37391042709350586,4796,173,4607.8,50.0,4985.2,297.1
3435,58,marine mammal,0.17593206465244293,4489,714,4280.3,693.3,4698.3,736.9
3435,72,whale,0.3565343916416168,4806,170,4615.4,42.0,4997.2,298.5
3438,58,marine mammal,0.17593206465244293,4488,713,4275.7,694.8,4700.6,732.9
3438,72,whale,0.6255569458007812,4803,170,4603.0,33.2,5003.4,307.2
3441,72,whale,0.5573413968086243,4803,166,4595.0,24.2,5012.0,309.3
3444,72,whale,0.36493024230003357,4802,168,4591.7,21.2,5013.1,314.6
3447,72,whale,0.4012052118778229,4807,160,4589.0,3.3,5026.7,316.9
3450,72,whale,0.4200790822505951,4813,152,4589.2,-12.1,5038.8,317.3
3453,72,marine mammal,0.38008302450180054,4817,144,4589.8,-27.5,5046.6,315.3
3456,72,marine mammal,0.16673608124256134,4832,130,4601.3,-47.7,5063.9,308.8
3459,72,whale,0.13402236998081207,4830,138,4612.7,-25.3,5048.5,303.9
3462,72,whale,0.17572586238384247,4835,139,4629.1,-11.5,5041.3,291.8
3465,72,whale,0.40570715069770813,4840,132,4645.2,-6.4,5036.7,272.4
3468,72,whale,0.13705578446388245,4838,134,4665.2,14.7,5012.8,255.1
3471,72,whale,0.13705578446388245,4838,131,4675.1,23.1,5001.9,240.2
3474,72,whale,0.1234869658946991,4833,133,4683.5,36.8,4983.2,230.8
3477,72,whale,0.10286282002925873,4855,114,4689.7,-1.1,5021.0,229.3
3480,72,whale,0.10286282002925873,4857,109,4695.8,-1.9,5019.7,219.3
3483,72,whale,0.12453228235244751,4882,97,4708.0,-21.2,5057.1,214.5
3486,72,marine mammal,0.21006281673908234,4901,86,4715.3,-38.0,5086.6,210.8
3489,72,whale,0.36911341547966003,4922,76,4729.9,-54.5,5115.0,209.1
3492,72,whale,0.2729675769805908,4944,67,4752.2,-69.4,5136.4,204.1
3495,72,whale,0.1475335955619812,4964,61,4776.6,-80.1,5151.7,201.5
3498,72,whale,0.38268470764160156,4982,50,4796.9,-92.0,5168.2,194.4
3501,72,whale,0.4108959138393402,5001,45,4815.1,-103.1,5187.2,194.1
3504,72,whale,0.4108959138393402,5020,36,4834.8,-115.4,5205.2,189.6
3507,72,whale,0.4108959138393402,5040,27,4859.1,-131.0,5221.3,185.6
3510,72,whale,0.4108959138393402,5059,19,4881.4,-143.3,5237.5,181.9
3513,72,whale,0.4108959138393402,5081,8,4903.8,-159.6,5257.9,177.3
3516,72,whale,0.4108959138393402,5098,0,4925.8,-173.0,5272.2,173.7
3519,72,whale,0.4108959138393402,5116,-11,4946.2,-188.6,5288.2,168.6
3522,72,whale,0.4108959138393402,5130,-19,4962.8,-201.8,5299.9,164.8
