frame,track_id,n_keypoints,rostrum_tip_x,rostrum_tip_y,rostrum_tip_conf,mid_saddle_patch_x,mid_saddle_patch_y,mid_saddle_patch_conf,Caudal_peduncle_x,Caudal_peduncle_y,Caudal_peduncle_conf,left_pect_fin_tip_x,left_pect_fin_tip_y,left_pect_fin_tip_conf,right_pect_fin_tip_x,right_pect_fin_tip_y,right_pect_fin_tip_conf,left_caudal_fluke_x,left_caudal_fluke_y,left_caudal_fluke_conf,right_caudal_fluke_x,right_caudal_fluke_y,right_caudal_fluke_conf
0,2,4,643.8,1180.0,0.648,,,,,,,653.8,1640.0,0.1409,863.6,1225.0,0.1228,898.6,1435.0,0.6906,,,
0,3,2,655.7,1684.0,0.3026,,,,,,,,,,,,,1001.1,1992.8,0.7568,,,
3,2,4,636.2,1148.4,0.612,,,,,,,631.2,1173.4,0.1603,856.4,1188.5,0.1635,896.4,1403.9,0.5649,,,
6,2,2,623.9,1105.0,0.8102,,,,,,,613.8,1564.3,0.1064,,,,,,,,,
6,3,2,630.5,1601.1,0.366,,,,,,,,,,,,,967.4,1911.2,0.6113,,,
9,3,2,620.9,1546.5,0.4161,,,,,,,,,,,,,970.4,1864.9,0.5274,,,
9,2,3,621.3,1054.7,0.8481,,,,,,,723.7,1264.5,0.1183,,,,862.0,1295.2,0.1766,,,
12,3,3,614.8,1490.4,0.2907,,,,,,,,,,,,,960.8,1812.1,0.7069,1052.2,1426.9,0.2425
12,2,4,610.3,997.6,0.7768,,,,,,,715.5,1213.2,0.2722,,,,850.8,1238.3,0.2261,1056.2,1428.8,0.2407
15,3,3,609.2,1431.3,0.324,,,,,,,,,,,,,951.5,1750.5,0.6453,1055.4,1365.9,0.2661
15,4,4,2591.2,1164.3,0.5603,,,,,,,2583.7,1307.9,0.346,2767.6,1171.8,0.1508,2891.0,1443.9,1.1627,,,
15,2,4,600.3,940.7,0.5553,,,,,,,707.1,1165.0,0.2911,,,,856.7,1181.1,0.4999,1043.6,1357.3,0.2031
18,4,4,2598.3,1104.4,0.9289,,,,,,,2587.9,1249.5,0.2585,2766.4,1107.0,0.155,2890.6,1384.3,0.9865,,,
18,2,4,593.2,881.5,0.4704,,,,,,,708.3,1111.7,0.2173,,,,938.5,1669.9,0.7665,1111.1,1341.9,0.1394
18,3,3,600.7,1362.0,0.3113,,,,,,,,,,,,,935.6,1670.9,0.4654,1110.5,1339.7,0.1598
21,4,5,2604.2,1041.3,0.972,2577.4,1201.9,0.1066,,,,2594.1,1195.2,0.379,2771.5,1034.6,0.1425,2891.9,1322.3,0.7915,,,
21,3,4,597.9,1290.8,0.3684,,,,,,,,,,881.7,1336.7,0.1675,927.6,1591.2,0.4122,1107.0,1269.9,0.1778
21,2,5,586.0,812.4,0.4654,,,,,,,697.3,1009.4,0.1004,990.6,1545.0,0.2179,828.8,1029.7,0.3866,1107.0,1272.2,0.1809
24,3,5,592.8,1213.3,0.2389,584.4,1213.3,0.1635,,,,,,,985.9,1455.6,0.1615,919.0,1509.9,0.4999,1107.2,1200.8,0.1209
24,4,4,2610.2,968.8,0.9017,,,,,,,2599.8,1119.7,0.4066,2753.5,958.4,0.1082,2894.3,1249.7,0.8591,,,
24,2,5,577.8,726.1,0.4321,582.9,1208.4,0.1403,,,,974.7,1449.5,0.1235,984.8,1454.5,0.2373,,,,1105.4,1198.3,0.126
27,4,4,2617.8,892.5,1.2046,,,,,,,2603.5,1045.7,0.462,2774.3,899.6,0.1131,2905.9,1177.5,1.0956,,,
27,3,4,592.6,1130.9,0.2873,583.9,1122.2,0.1135,,,,,,,985.9,1381.5,0.2436,908.1,1420.4,0.5368,,,
27,2,5,573.7,645.9,0.5082,583.7,1122.7,0.1171,,,,,,,985.2,1378.7,0.1801,824.6,866.7,0.1081,1090.7,1092.6,0.1082
30,2,4,572.3,558.1,0.5349,572.3,1031.3,0.1005,,,,,,,,,,806.4,772.3,0.136,1095.3,996.4,0.1473
30,4,3,2621.9,813.1,1.2092,,,,,,,2607.7,969.8,0.4067,,,,2910.5,1094.5,0.7859,,,
30,3,4,584.5,1041.1,0.3403,,,,,,,,,,986.3,1312.0,0.1831,900.5,1330.0,0.2507,1108.2,1023.0,0.1241
33,4,3,2631.0,729.2,1.0349,,,,,,,2613.0,891.7,0.3974,,,,2912.7,1010.8,0.7142,,,
33,2,2,574.0,466.7,0.4441,,,,,,,,,,,,,811.7,679.1,0.2865,,,
33,3,4,581.5,950.1,0.1761,571.5,945.2,0.1073,,,,,,,,,,900.6,1244.0,0.5719,990.3,1358.6,0.1141
36,2,4,572.7,371.3,0.6321,,,,890.2,932.0,0.1143,,,,,,,815.8,589.6,0.2342,1078.7,817.8,0.1851
36,3,3,,,,,,,882.5,934.3,0.1052,,,,,,,877.5,1139.5,0.2263,1077.7,814.2,0.1864
39,2,3,566.6,286.8,0.7001,,,,,,,,,,,,,803.6,493.4,0.2496,1096.1,730.2,0.2724
39,3,3,899.1,841.1,0.1679,,,,,,,,,,,,,888.7,1049.2,0.3592,1091.7,726.7,0.2518
42,2,4,564.3,209.2,0.6723,559.3,686.0,0.1431,,,,,,,,,,803.4,408.7,0.2483,1107.2,666.6,0.2626
42,3,5,547.9,678.9,0.1267,558.2,684.1,0.1527,874.1,741.1,0.116,,,,,,,874.1,968.9,0.5319,1101.9,658.2,0.2465
45,4,3,2652.4,415.7,1.1727,,,,,,,2631.2,578.3,0.4375,,,,2938.6,705.5,0.7464,,,
45,2,4,568.9,130.6,0.6052,554.0,608.1,0.1408,,,,,,,827.4,198.2,0.1112,867.2,878.4,0.131,,,
48,4,3,2663.3,351.1,1.1334,,,,,,,2645.4,515.2,0.4034,,,,2945.1,640.1,0.8306,,,
51,4,3,2680.7,310.2,1.1855,,,,,,,2660.0,475.9,0.3977,,,,2956.4,600.1,1.0177,,,
51,3,3,562.0,446.5,0.3154,,,,,,,1095.6,559.7,0.1709,,,,863.8,726.8,0.1431,,,
54,4,3,2705.3,279.8,1.2498,,,,,,,2684.5,453.1,0.405,,,,2986.1,577.9,0.97,,,
54,3,4,593.9,365.3,0.1004,,,,,,,698.7,679.3,0.2178,,,,362.0,679.3,0.3103,1057.7,826.7,0.1042
57,3,3,,,,,,,,,,704.5,623.0,0.1771,920.7,390.1,0.1837,654.6,273.7,0.135,,,
57,4,5,2723.2,255.8,1.0339,,,,3051.7,601.0,0.1632,2699.0,428.4,0.3567,2887.5,288.2,0.1214,2997.8,557.9,1.0466,,,
60,3,4,,,,,,,1256.7,234.3,0.1686,706.2,584.1,0.1405,,,,881.1,553.3,0.1837,1256.7,224.0,0.1438
60,4,3,2730.1,233.2,1.1615,,,,,,,2706.9,398.4,0.3985,,,,3000.9,533.8,0.6648,,,
63,3,5,705.2,574.8,0.1873,,,,1253.6,200.6,0.2555,,,,730.9,277.5,0.1172,864.1,518.4,0.1175,982.0,641.4,0.16
63,4,3,2733.5,217.5,1.1727,,,,,,,2709.0,375.0,0.4086,,,,2999.5,515.0,0.8999,,,
66,3,5,593.6,217.8,0.2038,,,,1250.6,171.2,0.3695,702.2,538.5,0.1205,,,,852.2,486.8,0.2012,1116.1,238.4,0.1693
66,4,4,2736.9,201.4,1.1063,,,,,,,2714.3,356.6,0.3741,2880.5,209.9,0.1576,3001.7,500.6,1.0419,,,
69,3,4,592.4,195.0,0.4612,,,,1249.7,148.1,0.2864,,,,,,,842.8,461.0,0.2901,1108.9,732.3,0.1568
69,4,3,2743.3,191.2,1.111,,,,,,,2723.6,346.5,0.3562,,,,3011.9,490.4,1.0116,,,
72,3,6,596.1,171.5,0.6268,,,,1250.2,126.1,0.3105,596.1,186.6,0.1166,897.6,242.1,0.1017,856.7,443.8,0.8224,1066.3,660.7,0.1515
72,4,4,2750.9,181.0,1.1823,,,,,,,2732.2,337.7,0.3929,2885.2,181.0,0.1074,3019.5,475.8,0.915,,,
75,3,5,606.0,156.5,0.6126,,,,1254.8,107.6,0.3782,601.0,171.1,0.1133,,,,872.6,430.3,0.2099,1063.7,635.6,0.1718
75,4,5,2766.4,172.0,1.0448,,,,3093.2,506.4,0.1031,2748.6,322.6,0.3448,2927.3,195.0,0.1306,3031.9,468.1,0.6182,,,
78,3,5,605.6,135.2,0.4826,,,,1264.2,91.7,0.3757,610.7,149.6,0.1147,,,,860.9,400.6,0.5474,1111.1,115.8,0.1934
78,4,5,2780.6,164.0,1.0665,,,,3105.0,503.5,0.1304,2760.5,327.5,0.2808,2936.5,181.6,0.1972,3049.7,463.2,0.6593,,,
81,4,4,2799.9,156.3,1.0373,,,,,,,2775.0,320.0,0.3029,2951.5,168.7,0.206,3063.3,454.0,0.6439,,,
81,3,5,612.0,124.6,0.6014,,,,912.4,110.2,0.1153,,,,1248.9,699.8,0.1161,865.8,383.5,0.9677,1114.3,95.9,0.2532
84,3,5,626.4,111.5,0.5094,,,,923.7,97.5,0.1217,707.0,362.2,0.1011,,,,863.2,357.6,0.1962,1130.2,83.6,0.2777
84,4,5,2818.6,150.3,1.0575,,,,3138.7,487.7,0.1269,2793.8,311.6,0.3606,2967.5,157.8,0.1361,3084.1,450.5,0.8345,,,
87,4,5,2841.5,145.0,1.1975,,,,3159.1,483.1,0.1109,2810.1,308.8,0.4225,2970.6,148.5,0.1805,3099.8,441.2,1.067,,,
90,3,5,649.4,86.0,0.498,,,,,,,735.6,285.3,0.2182,720.4,72.5,0.1331,887.6,326.1,0.1165,1151.1,606.9,0.1899
90,4,3,2864.3,142.4,1.1883,,,,,,,2826.0,301.2,0.3114,,,,3120.1,442.2,0.3466,,,
93,3,4,665.6,71.7,0.4414,,,,,,,746.6,277.8,0.2864,,,,918.9,322.6,0.5746,1162.2,591.5,0.2003
93,4,3,2886.6,139.6,1.0797,,,,,,,2846.2,293.3,0.363,,,,3142.4,439.0,0.6002,,,
96,3,6,684.7,64.2,0.2208,,,,1324.9,555.0,0.1184,760.0,270.6,0.2396,1319.5,564.1,0.1127,921.4,311.9,0.6434,1168.9,577.9,0.2192
96,4,4,2910.8,139.5,1.1873,2857.5,294.0,0.122,,,,2869.0,286.5,0.3922,,,,3166.0,437.2,0.7007,,,
99,3,5,,,,,,,1348.5,552.5,0.1226,771.4,263.1,0.1987,1333.3,556.8,0.1611,933.4,298.2,0.1212,1181.4,570.0,0.2349
102,3,5,706.9,47.9,0.1403,,,,,,,777.6,261.3,0.2191,989.6,135.0,0.1759,949.2,291.8,0.8326,1191.5,566.2,0.2259
105,3,6,712.5,39.1,0.1352,,,,1361.1,538.3,0.203,793.6,273.5,0.2357,1016.5,130.2,0.1459,925.3,91.2,0.4034,1199.0,555.7,0.1763
108,3,4,,,,,,,,,,803.3,284.9,0.1596,1030.3,133.8,0.199,974.8,289.3,0.2983,1201.8,544.0,0.1799
108,4,5,2992.0,154.9,1.0745,,,,3300.8,492.8,0.1043,2949.7,310.7,0.4407,2949.7,310.7,0.1042,3240.1,455.8,0.9919,,,
