frame,track_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y
0,1,whale,0.736756443977356,2576.37744140625,1350.0626220703125,2979.405029296875,1710.7467041015625,2777,1530
0,2,marine mammal,0.7295137643814087,637.6522216796875,1173.3885498046875,1330.7017822265625,1817.4180908203125,984,1495
0,3,marine mammal,0.4464400112628937,643.8162231445312,1658.27197265625,1164.44580078125,2106.066650390625,904,1882
3,1,whale,0.5840612649917603,2575.73095703125,1321.636962890625,2928.14453125,1653.239501953125,2751,1487
3,2,marine mammal,0.5139105319976807,629.64990234375,1137.5830078125,1324.185791015625,1792.141845703125,976,1464
6,2,marine mammal,0.5265198945999146,617.85888671875,1092.0758056640625,1317.9915771484375,1755.4072265625,967,1423
6,3,marine mammal,0.3382681608200073,603.5115966796875,1549.4620361328125,1116.9876708984375,2042.0611572265625,860,1795
6,1,whale,0.28838157653808594,2578.6171875,1283.5416259765625,2938.15869140625,1627.1788330078125,2758,1455
9,1,marine mammal,0.577605664730072,2580.76171875,1256.389892578125,3186.990478515625,1718.089599609375,2883,1487
9,3,marine mammal,0.34034618735313416,582.0518188476562,1491.6591796875,1114.5556640625,2001.1728515625,848,1746
9,2,marine mammal,0.2696380019187927,615.0010986328125,1043.8345947265625,1324.672607421875,1711.5506591796875,969,1377
12,3,marine mammal,0.727769136428833,562.4833374023438,1431.784912109375,1113.356689453125,1947.4417724609375,837,1689
12,2,marine mammal,0.31179487705230713,603.9169921875,983.874755859375,1298.797607421875,1654.267822265625,951,1319
15,3,whale,0.5584584474563599,574.0142211914062,1392.743896484375,1107.2615966796875,1887.072265625,840,1639
15,4,whale,0.5472812056541443,2586.07958984375,1155.9713134765625,2935.281005859375,1490.6661376953125,2760,1323
15,2,marine mammal,0.4342871904373169,593.325439453125,928.727783203125,1333.96875,1573.2371826171875,963,1250
18,4,whale,0.7765418291091919,2589.736328125,1096.35107421875,2948.515380859375,1429.6392822265625,2769,1262
18,2,marine mammal,0.41300520300865173,585.65771484375,861.8126220703125,1384.0711669921875,1512.3475341796875,984,1187
18,3,whale,0.3058985769748688,592.44287109375,1352.18896484375,1108.2628173828125,1826.1995849609375,850,1589
21,4,marine mammal,0.5788048505783081,2593.37109375,1026.57421875,3057.439453125,1438.0015869140625,2825,1232
21,3,marine mammal,0.45021164417266846,576.0668334960938,1271.6068115234375,1154.7166748046875,1803.527099609375,865,1537
21,2,marine mammal,0.2955322265625,585.0689086914062,792.6322631835938,1285.9114990234375,1429.7967529296875,935,1111
24,3,marine mammal,0.4533991515636444,583.4923095703125,1202.836669921875,1163.390380859375,1751.2899169921875,873,1477
24,4,whale,0.4316028952598572,2596.990478515625,957.32080078125,2957.904052734375,1298.6319580078125,2777,1127
24,2,marine mammal,0.42659732699394226,576.8322143554688,712.2410888671875,1273.5704345703125,1344.2318115234375,925,1028
27,4,marine mammal,0.48885101079940796,2603.215087890625,879.0932006835938,3096.601318359375,1362.9365234375,2849,1121
27,3,marine mammal,0.42712461948394775,574.2542724609375,1108.2216796875,1173.548583984375,1682.0555419921875,873,1395
27,2,marine mammal,0.2682497203350067,572.889892578125,628.4199829101562,1268.9715576171875,1257.331787109375,920,942
30,2,marine mammal,0.5739086270332336,571.1339721679688,537.844482421875,1261.851318359375,1166.715087890625,916,852
30,4,marine mammal,0.5169352889060974,2606.627197265625,801.8069458007812,3100.540283203125,1273.899658203125,2853,1037
30,3,whale,0.4097825586795807,578.8526000976562,1030.1998291015625,1204.8392333984375,1622.4539794921875,891,1326
33,4,marine mammal,0.500943660736084,2608.61962890625,718.8338623046875,3109.0263671875,1217.02685546875,2858,967
33,2,marine mammal,0.45389246940612793,572.96484375,448.8955078125,1274.4210205078125,1072.4415283203125,923,760
33,3,marine mammal,0.3631306290626526,575.4993286132812,934.7536010742188,1266.359619140625,1554.9002685546875,920,1244
36,2,marine mammal,0.5809648633003235,571.5549926757812,358.106689453125,1259.68798828125,981.169921875,915,669
36,3,marine mammal,0.30506330728530884,570.6968994140625,843.3733520507812,1264.9881591796875,1476.1915283203125,917,1159
39,2,marine mammal,0.4974229335784912,560.237548828125,265.5537414550781,1259.4576416015625,883.3795166015625,909,574
39,3,marine mammal,0.3128261864185333,549.0682983398438,738.7285766601562,1270.794921875,1402.054443359375,909,1070
42,5,whale,0.6614086031913757,2628.2001953125,476.8956298828125,2974.39697265625,819.9942626953125,2801,648
42,2,marine mammal,0.483408123254776,563.5578002929688,188.7094268798828,1254.2427978515625,800.3882446289062,908,494
42,3,marine mammal,0.3049151599407196,557.3576049804688,675.3636474609375,1275.2991943359375,1357.1605224609375,916,1016
45,4,marine mammal,0.4671114683151245,2634.468994140625,407.91064453125,3109.8017578125,897.703125,2872,652
45,2,marine mammal,0.36700260639190674,557.4737548828125,115.020263671875,1247.13427734375,725.0068969726562,902,420
48,4,marine mammal,0.5603219270706177,2641.04296875,343.7529602050781,3135.66796875,823.2133178710938,2888,583
51,4,marine mammal,0.8214479684829712,2663.3154296875,299.181884765625,3113.05615234375,777.5681762695312,2888,538
51,3,marine mammal,0.3518137037754059,568.6266479492188,391.44232177734375,1290.1094970703125,1138.753173828125,929,765
54,4,marine mammal,0.779714047908783,2684.288818359375,275.36553955078125,3101.41845703125,756.2735595703125,2892,515
54,3,marine mammal,0.6492003798484802,590.1368408203125,37.0770263671875,1317.18603515625,1074.0318603515625,953,555
57,3,marine mammal,0.764423131942749,608.3314819335938,244.86895751953125,1311.4765625,1013.4845581054688,959,629
57,4,whale,0.7137351036071777,2698.3671875,250.2263946533203,3050.581787109375,623.6736450195312,2874,436
60,3,marine mammal,0.6378828287124634,603.5520629882812,258.60406494140625,1293.5596923828125,972.5065307617188,948,615
60,4,marine mammal,0.6290004849433899,2705.59228515625,226.35562133789062,3091.787353515625,684.4224853515625,2898,455
63,3,marine mammal,0.7286714315414429,601.8308715820312,230.6043243408203,1281.734619140625,941.0804443359375,941,585
63,4,marine mammal,0.5373731255531311,2707.739013671875,210.30184936523438,3117.580810546875,695.6061401367188,2912,452
66,3,marine mammal,0.7189570069313049,594.9406127929688,196.25234985351562,1275.708984375,913.5093994140625,935,554
66,4,whale,0.5262464880943298,2719.228271484375,195.6020050048828,3059.214599609375,586.34814453125,2889,390
69,3,marine mammal,0.8056435585021973,591.2340087890625,183.54718017578125,1272.8704833984375,906.996337890625,932,545
69,4,whale,0.3878551423549652,2723.6494140625,182.55747985839844,3069.19140625,574.04443359375,2896,378
72,3,marine mammal,0.840444028377533,591.3161010742188,164.38629150390625,1286.716064453125,872.462646484375,939,518
72,4,marine mammal,0.4435196816921234,2731.88818359375,172.66502380371094,3211.025390625,690.241455078125,2971,431
75,3,marine mammal,0.7068894505500793,601.0704956054688,145.3328399658203,1296.183837890625,843.098876953125,948,494
