frame,track_id,class_name,confidence,center_x,center_y,bbox_x1,bbox_y1,bbox_x2,bbox_y2
3,3,whale,0.5840612649917603,2758,1492,2575.4,1322.3,2941.2,1662.0
6,3,whale,0.28838157653808594,2762,1492,2576.1,1321.3,2948.1,1663.8
9,3,marine mammal,0.577605664730072,2828,1532,2581.1,1330.6,3076.0,1734.4
12,3,whale,0.5264114737510681,2809,1522,2589.3,1334.4,3030.3,1709.0
15,3,whale,0.5472812056541443,2791,1512,2592.7,1332.2,2991.1,1692.8
18,3,whale,0.7765418291091919,2783,1506,2598.3,1335.2,2968.9,1677.6
21,3,marine mammal,0.5788048505783081,2802,1517,2598.4,1330.2,3006.7,1704.8
24,3,whale,0.4316028952598572,2792,1507,2600.7,1324.6,2985.2,1690.6
27,3,whale,0.4316028952598572,2546,1431,2331.2,1285.1,2762.4,1578.3
30,3,marine mammal,0.5169352889060974,2838,1575,2569.1,1339.4,3107.5,1811.4
33,3,marine mammal,0.500943660736084,2920,1469,2665.5,1232.3,3175.2,1707.7
36,3,marine mammal,0.23641741275787354,2836,1518,2591.7,1311.4,3081.4,1724.4
39,3,whale,0.47694337368011475,2765,1513,2569.7,1329.3,2962.1,1698.4
42,3,whale,0.47694337368011475,4832,1588,4062.9,1225.9,5602.5,1951.4
45,3,marine mammal,0.4671114683151245,2821,1538,2603.2,1311.6,3039.4,1764.5
48,3,marine mammal,0.5603219270706177,2850,1547,2615.4,1310.5,3086.0,1785.1
51,3,marine mammal,0.8214479684829712,2866,1571,2633.2,1326.8,3100.5,1815.2
54,3,marine mammal,0.779714047908783,2874,1603,2652.6,1355.4,3095.6,1851.9
57,3,whale,0.7137351036071777,2861,1602,2665.7,1382.8,3056.6,1821.9
60,3,marine mammal,0.6290004849433899,2862,1614,2671.3,1395.4,3053.7,1834.0
63,3,marine mammal,0.5373731255531311,2867,1629,2673.3,1403.2,3062.1,1856.6
66,3,whale,0.5262464880943298,2858,1619,2677.0,1409.8,3041.0,1828.2
69,3,whale,0.3878551423549652,2857,1614,2682.8,1415.1,3031.4,1813.3
72,3,marine mammal,0.4435196816921234,2886,1638,2688.6,1418.0,3084.7,1859.9
75,3,whale,0.4838203489780426,2876,1622,2691.4,1421.4,3061.8,1822.8
78,3,whale,0.5806925296783447,2871,1611,2694.2,1425.9,3048.4,1797.4
81,3,whale,0.645971417427063,2868,1605,2697.4,1429.9,3040.0,1780.5
84,3,whale,0.3741857409477234,2868,1601,2701.4,1432.5,3037.3,1771.3
87,3,marine mammal,0.9174311757087708,2882,1628,2699.5,1431.9,3066.1,1823.5
90,3,whale,0.47503259778022766,2879,1621,2699.4,1433.5,3059.7,1810.1
93,3,whale,0.4644591510295868,2881,1618,2697.3,1434.4,3064.1,1802.8
96,3,marine mammal,0.5688864588737488,2898,1651,2701.0,1434.2,3094.9,1868.5
99,3,whale,0.17065520584583282,2896,1644,2708.7,1440.0,3084.2,1848.8
102,3,whale,0.26070770621299744,2890,1634,2708.8,1441.5,3072.4,1828.1
105,3,whale,0.31784915924072266,2887,1630,2710.5,1443.0,3063.1,1818.1
108,3,whale,0.6013603806495667,2895,1625,2724.0,1441.4,3065.9,1809.8
111,3,whale,0.3980679512023926,2892,1630,2724.1,1447.8,3061.1,1812.4
114,3,whale,0.5163677930831909,2892,1635,2723.7,1454.9,3060.0,1815.1
117,3,whale,0.5055880546569824,2892,1637,2725.9,1460.2,3060.7,1815.7
120,3,whale,0.7163486480712891,2904,1637,2738.9,1459.9,3070.8,1815.0
123,3,whale,0.7288052439689636,2907,1639,2743.5,1463.2,3072.2,1817.3
126,3,whale,0.7293981909751892,2913,1645,2749.1,1468.9,3077.4,1820.7
129,3,whale,0.645004391670227,2917,1652,2752.6,1475.6,3083.1,1827.8
132,3,whale,0.2968461215496063,2920,1653,2754.1,1478.2,3088.8,1829.3
135,3,whale,0.34877052903175354,2924,1657,2753.2,1478.6,3096.6,1836.7
138,3,marine mammal,0.5659100413322449,2918,1652,2752.9,1476.7,3083.6,1828.4
141,3,whale,0.42563551664352417,2925,1656,2755.9,1479.9,3095.3,1832.7
144,3,whale,0.4102635383605957,2898,1674,2731.4,1499.1,3065.1,1849.6
147,3,marine mammal,0.7975945472717285,2923,1675,2749.4,1497.9,3098.0,1851.9
150,3,marine mammal,0.8631414175033569,2937,1677,2759.6,1497.6,3114.8,1857.0
153,3,marine mammal,0.7843508720397949,2951,1677,2771.3,1493.4,3131.3,1862.8
156,3,whale,0.4328318238258362,2968,1678,2798.9,1491.4,3138.3,1865.1
159,3,marine mammal,0.8437916040420532,2975,1680,2802.0,1493.6,3148.0,1867.2
162,3,whale,0.5196089148521423,2974,1687,2799.9,1499.1,3149.3,1874.8
165,3,marine mammal,0.17937932908535004,2977,1693,2798.0,1503.9,3157.1,1884.1
