frame,track_id,n_keypoints,rostrum_tip_x,rostrum_tip_y,rostrum_tip_conf,left_caudal_fluke_x,left_caudal_fluke_y,left_caudal_fluke_conf,right_caudal_fluke_x,right_caudal_fluke_y,right_caudal_fluke_conf,left_pect_fin_tip_x,left_pect_fin_tip_y,left_pect_fin_tip_conf,right_pect_fin_tip_x,right_pect_fin_tip_y,right_pect_fin_tip_conf,mid_saddle_patch_x,mid_saddle_patch_y,mid_saddle_patch_conf,Caudal_peduncle_x,Caudal_peduncle_y,Caudal_peduncle_conf
18,1,3,2120.0,1355.0,0.2218,,,,,,,,,,2128.0,1287.0,0.1892,2076.0,1247.0,0.4005,,,
21,1,5,2204.0,1271.0,0.2014,,,,2212.0,1271.0,0.1012,2076.0,1335.0,0.1109,2132.0,1319.0,0.1916,2088.0,1283.0,0.3016,,,
24,1,3,2208.0,1298.0,0.1622,,,,,,,,,,2136.0,1354.0,0.1718,2088.0,1314.0,0.698,,,
27,1,4,2144.0,1450.0,0.2292,,,,2212.0,1314.0,0.1101,,,,2148.0,1382.0,0.1657,1996.0,1362.0,0.5193,,,
30,1,4,2156.0,1474.0,0.2158,,,,2164.0,1474.0,0.1366,,,,2156.0,1410.0,0.1612,2104.0,1370.0,0.6392,,,
33,1,4,2232.0,1374.0,0.197,,,,2184.0,1494.0,0.1563,,,,2168.0,1434.0,0.1257,2112.0,1398.0,0.6395,,,
36,1,4,2184.0,1521.0,0.1599,,,,2260.0,1405.0,0.1571,,,,2176.0,1457.0,0.1004,2120.0,1421.0,0.7742,,,
39,1,4,2200.0,1537.0,0.1623,,,,2200.0,1537.0,0.1751,,,,2188.0,1477.0,0.1554,2132.0,1441.0,0.6407,,,
42,1,3,2272.0,1453.0,0.2031,,,,2216.0,1553.0,0.1885,,,,,,,2144.0,1465.0,0.2882,,,
45,1,3,2288.0,1461.0,0.2335,,,,2232.0,1569.0,0.2233,,,,,,,2156.0,1485.0,0.7422,,,
48,1,4,2300.0,1481.0,0.196,,,,2248.0,1589.0,0.2082,2168.0,1549.0,0.1021,,,,2164.0,1505.0,0.7227,,,
51,1,4,2316.0,1497.0,0.1874,,,,2268.0,1601.0,0.2267,,,,2236.0,1541.0,0.1184,2176.0,1521.0,0.7524,,,
54,1,4,2332.0,1513.0,0.1648,,,,2296.0,1613.0,0.2142,,,,2248.0,1553.0,0.1027,2188.0,1541.0,0.7194,,,
57,1,3,2300.0,1624.0,0.1573,,,,2352.0,1524.0,0.2033,,,,,,,2200.0,1556.0,0.6797,,,
60,1,3,2316.0,1628.0,0.1826,,,,2356.0,1532.0,0.1638,,,,,,,2212.0,1572.0,0.9215,,,
63,1,4,2332.0,1640.0,0.1889,,,,2384.0,1548.0,0.2224,,,,,,,2220.0,1584.0,0.6584,2352.0,1536.0,0.112
66,1,4,2344.0,1644.0,0.208,,,,2400.0,1556.0,0.2248,,,,,,,2240.0,1600.0,0.8027,2368.0,1548.0,0.1033
69,1,3,2360.0,1652.0,0.1963,,,,2404.0,1560.0,0.2328,,,,,,,2248.0,1616.0,0.6161,,,
72,1,3,2380.0,1656.0,0.1986,,,,2428.0,1564.0,0.2436,,,,,,,2260.0,1624.0,0.843,,,
75,1,4,2392.0,1656.0,0.2002,,,,2444.0,1568.0,0.2646,,,,,,,2272.0,1632.0,0.7026,2420.0,1552.0,0.1032
78,1,4,2404.0,1660.0,0.1897,,,,2456.0,1568.0,0.2234,,,,,,,2280.0,1636.0,0.9387,2424.0,1560.0,0.1078
81,1,3,2420.0,1660.0,0.2107,,,,2468.0,1564.0,0.2201,,,,,,,2292.0,1640.0,0.8119,,,
84,1,3,2432.0,1656.0,0.2502,,,,2484.0,1560.0,0.2401,,,,,,,2304.0,1640.0,0.8508,,,
87,1,3,2448.0,1656.0,0.2325,,,,2488.0,1548.0,0.2323,,,,,,,2320.0,1640.0,0.7358,,,
