frame,track_id,brightness,white_pct,bx,by
18,1,117.32875,0.0,2106,1322
21,1,122.4834375,0.3125,2169,1274
24,1,121.5478125,0.296875,2172,1302
27,1,115.89203125,0.0,2099,1423
30,1,114.2209375,0.0,2140,1442
33,1,121.09640625,0.28125,2196,1381
36,1,112.7046875,0.0,2164,1491
39,1,112.44328125,0.0,2179,1508
42,1,119.4446875,0.234375,2233,1456
45,1,118.92890625,0.25,2248,1468
48,1,117.788125,0.25,2259,1488
51,1,116.9528125,0.234375,2274,1504
54,1,116.52671875,0.265625,2288,1521
57,1,112.86390625,0.34375,2270,1603
60,1,113.22921875,0.375,2284,1611
63,1,113.59140625,0.578125,2298,1623
66,1,113.94734375,0.65625,2312,1630
69,1,113.739375,0.8125,2326,1641
72,1,113.5825,0.8750000000000001,2344,1646
75,1,113.4628125,1.0625,2356,1648
78,1,112.7121875,1.078125,2366,1652
81,1,111.85375,1.15625,2381,1654
84,1,111.71984375,1.125,2393,1651
87,1,111.03734375,1.125,2409,1651
